counter_id,date,time,channel_1,channel_2
17,13/11/2007,13,2,1
17,13/11/2007,14,3,3
17,13/11/2007,15,1,2
17,13/11/2007,16,1,10
17,13/11/2007,17,8,16
17,13/11/2007,18,4,8
17,13/11/2007,19,0,2
17,13/11/2007,20,1,1
17,13/11/2007,21,0,0
17,13/11/2007,22,0,1
17,13/11/2007,23,0,0
17,14/11/2007,0,0,0
17,14/11/2007,1,0,0
17,14/11/2007,2,0,0
17,14/11/2007,3,0,0
17,14/11/2007,4,0,0
17,14/11/2007,5,0,1
17,14/11/2007,6,3,1
17,14/11/2007,7,12,6
17,14/11/2007,8,17,9
17,14/11/2007,9,6,3
17,14/11/2007,10,0,2
17,14/11/2007,11,0,1
17,14/11/2007,12,6,2
17,14/11/2007,13,3,3
17,14/11/2007,14,1,2
17,14/11/2007,15,0,4
17,14/11/2007,16,4,13
17,14/11/2007,17,6,11
17,14/11/2007,18,5,7
17,14/11/2007,19,1,1
17,14/11/2007,20,1,2
17,14/11/2007,21,0,0
17,14/11/2007,22,0,1
17,14/11/2007,23,0,0
17,15/11/2007,0,0,0
17,15/11/2007,1,0,0
17,15/11/2007,2,0,0
17,15/11/2007,3,0,0
17,15/11/2007,4,0,0
17,15/11/2007,5,0,1
17,15/11/2007,6,1,0
17,15/11/2007,7,11,8
17,15/11/2007,8,8,6
17,15/11/2007,9,4,3
17,15/11/2007,10,1,0
17,15/11/2007,11,0,1
17,15/11/2007,12,2,2
17,15/11/2007,13,1,2
17,15/11/2007,14,0,2
17,15/11/2007,15,4,3
17,15/11/2007,16,4,8
17,15/11/2007,17,7,11
17,15/11/2007,18,6,10
17,15/11/2007,19,1,0
17,15/11/2007,20,1,0
17,15/11/2007,21,1,0
17,15/11/2007,22,0,1
17,15/11/2007,23,0,0
17,16/11/2007,0,0,0
17,16/11/2007,1,0,0
17,16/11/2007,2,0,0
17,16/11/2007,3,0,0
17,16/11/2007,4,0,0
17,16/11/2007,5,0,1
17,16/11/2007,6,2,0
17,16/11/2007,7,8,4
17,16/11/2007,8,12,6
17,16/11/2007,9,4,5
17,16/11/2007,10,0,1
17,16/11/2007,11,0,1
17,16/11/2007,12,2,2
17,16/11/2007,13,2,3
17,16/11/2007,14,0,2
17,16/11/2007,15,3,6
17,16/11/2007,16,2,6
17,16/11/2007,17,7,6
17,16/11/2007,18,2,5
17,16/11/2007,19,0,1
17,16/11/2007,20,0,0
17,16/11/2007,21,0,0
17,16/11/2007,22,0,0
17,16/11/2007,23,0,0
17,17/11/2007,0,0,0
17,17/11/2007,1,0,0
17,17/11/2007,2,0,0
17,17/11/2007,3,0,0
17,17/11/2007,4,0,0
17,17/11/2007,5,0,0
17,17/11/2007,6,1,1
17,17/11/2007,7,0,0
17,17/11/2007,8,1,3
17,17/11/2007,9,2,4
17,17/11/2007,10,2,4
17,17/11/2007,11,3,3
17,17/11/2007,12,4,4
17,17/11/2007,13,3,4
17,17/11/2007,14,3,2
17,17/11/2007,15,5,2
17,17/11/2007,16,0,2
17,17/11/2007,17,1,0
17,17/11/2007,18,1,0
17,17/11/2007,19,0,1
17,17/11/2007,20,1,0
17,17/11/2007,21,0,1
17,17/11/2007,22,0,0
17,17/11/2007,23,0,0
17,18/11/2007,0,0,0
17,18/11/2007,1,0,0
17,18/11/2007,2,0,0
17,18/11/2007,3,0,0
17,18/11/2007,4,0,1
17,18/11/2007,5,0,0
17,18/11/2007,6,0,0
17,18/11/2007,7,1,0
17,18/11/2007,8,0,0
17,18/11/2007,9,0,5
17,18/11/2007,10,1,4
17,18/11/2007,11,4,2
17,18/11/2007,12,1,6
17,18/11/2007,13,6,0
17,18/11/2007,14,5,1
17,18/11/2007,15,1,2
17,18/11/2007,16,2,0
17,18/11/2007,17,0,0
17,18/11/2007,18,1,1
17,18/11/2007,19,0,0
17,18/11/2007,20,0,0
17,18/11/2007,21,1,0
17,18/11/2007,22,0,0
17,18/11/2007,23,0,0
17,19/11/2007,0,0,0
17,19/11/2007,1,0,0
17,19/11/2007,2,0,0
17,19/11/2007,3,0,0
17,19/11/2007,4,0,0
17,19/11/2007,5,0,1
17,19/11/2007,6,1,0
17,19/11/2007,7,6,2
17,19/11/2007,8,14,4
17,19/11/2007,9,2,4
17,19/11/2007,10,1,0
17,19/11/2007,11,0,0
17,19/11/2007,12,1,1
17,19/11/2007,13,0,1
17,19/11/2007,14,0,0
17,19/11/2007,15,2,2
17,19/11/2007,16,1,3
17,19/11/2007,17,4,10
17,19/11/2007,18,2,3
17,19/11/2007,19,1,1
17,19/11/2007,20,1,1
17,19/11/2007,21,0,1
17,19/11/2007,22,0,0
17,19/11/2007,23,0,0
17,20/11/2007,0,0,0
17,20/11/2007,1,0,0
17,20/11/2007,2,0,0
17,20/11/2007,3,0,0
17,20/11/2007,4,0,0
17,20/11/2007,5,0,1
17,20/11/2007,6,2,0
17,20/11/2007,7,12,3
17,20/11/2007,8,13,8
17,20/11/2007,9,4,4
17,20/11/2007,10,1,1
17,20/11/2007,11,1,1
17,20/11/2007,12,1,2
17,20/11/2007,13,1,0
17,20/11/2007,14,3,3
17,20/11/2007,15,3,6
17,20/11/2007,16,3,6
17,20/11/2007,17,8,13
17,20/11/2007,18,4,8
17,20/11/2007,19,0,1
17,20/11/2007,20,2,1
17,20/11/2007,21,0,0
17,20/11/2007,22,0,1
17,20/11/2007,23,0,0
17,21/11/2007,0,0,0
17,21/11/2007,1,0,0
17,21/11/2007,2,0,0
17,21/11/2007,3,0,0
17,21/11/2007,4,0,0
17,21/11/2007,5,0,1
17,21/11/2007,6,3,0
17,21/11/2007,7,8,5
17,21/11/2007,8,7,5
17,21/11/2007,9,1,1
17,21/11/2007,10,0,0
17,21/11/2007,11,0,0
17,21/11/2007,12,1,1
17,21/11/2007,13,0,1
17,21/11/2007,14,0,1
17,21/11/2007,15,0,0
17,21/11/2007,16,1,3
17,21/11/2007,17,3,9
17,21/11/2007,18,5,4
17,21/11/2007,19,0,0
17,21/11/2007,20,0,1
17,21/11/2007,21,1,0
17,21/11/2007,22,0,0
17,21/11/2007,23,0,0
17,22/11/2007,0,0,0
17,22/11/2007,1,0,0
17,22/11/2007,2,0,0
17,22/11/2007,3,0,0
17,22/11/2007,4,0,0
17,22/11/2007,5,0,1
17,22/11/2007,6,3,0
17,22/11/2007,7,9,3
17,22/11/2007,8,12,7
17,22/11/2007,9,1,6
17,22/11/2007,10,1,0
17,22/11/2007,11,3,4
17,22/11/2007,12,2,0
17,22/11/2007,13,1,1
17,22/11/2007,14,3,2
17,22/11/2007,15,2,1
17,22/11/2007,16,3,7
17,22/11/2007,17,4,7
17,22/11/2007,18,6,6
17,22/11/2007,19,0,2
17,22/11/2007,20,1,0
17,22/11/2007,21,0,0
17,22/11/2007,22,0,1
17,22/11/2007,23,0,0
17,23/11/2007,0,0,0
17,23/11/2007,1,0,0
17,23/11/2007,2,0,0
17,23/11/2007,3,0,0
17,23/11/2007,4,0,0
17,23/11/2007,5,0,1
17,23/11/2007,6,0,2
17,23/11/2007,7,8,2
17,23/11/2007,8,7,9
17,23/11/2007,9,5,4
17,23/11/2007,10,0,5
17,23/11/2007,11,0,0
17,23/11/2007,12,1,0
17,23/11/2007,13,2,4
17,23/11/2007,14,2,1
17,23/11/2007,15,4,8
17,23/11/2007,16,6,5
17,23/11/2007,17,2,7
17,23/11/2007,18,3,6
17,23/11/2007,19,1,0
17,23/11/2007,20,0,0
17,23/11/2007,21,0,1
17,23/11/2007,22,0,0
17,23/11/2007,23,0,0
17,24/11/2007,0,0,1
17,24/11/2007,1,0,0
17,24/11/2007,2,0,0
17,24/11/2007,3,0,0
17,24/11/2007,4,0,0
17,24/11/2007,5,0,0
17,24/11/2007,6,1,0
17,24/11/2007,7,0,0
17,24/11/2007,8,0,0
17,24/11/2007,9,0,4
17,24/11/2007,10,0,2
17,24/11/2007,11,2,1
17,24/11/2007,12,1,1
17,24/11/2007,13,0,1
17,24/11/2007,14,2,2
17,24/11/2007,15,1,0
17,24/11/2007,16,0,1
17,24/11/2007,17,0,0
17,24/11/2007,18,0,1
17,24/11/2007,19,1,0
17,24/11/2007,20,0,0
17,24/11/2007,21,0,0
17,24/11/2007,22,0,0
17,24/11/2007,23,0,0
17,25/11/2007,0,0,1
17,25/11/2007,1,0,0
17,25/11/2007,2,0,0
17,25/11/2007,3,0,0
17,25/11/2007,4,0,0
17,25/11/2007,5,0,0
17,25/11/2007,6,0,0
17,25/11/2007,7,0,0
17,25/11/2007,8,0,1
17,25/11/2007,9,1,2
17,25/11/2007,10,2,8
17,25/11/2007,11,10,9
17,25/11/2007,12,3,5
17,25/11/2007,13,1,0
17,25/11/2007,14,3,1
17,25/11/2007,15,1,2
17,25/11/2007,16,7,0
17,25/11/2007,17,1,0
17,25/11/2007,18,0,0
17,25/11/2007,19,0,0
17,25/11/2007,20,0,0
17,25/11/2007,21,1,0
17,25/11/2007,22,0,0
17,25/11/2007,23,0,0
17,26/11/2007,0,0,0
17,26/11/2007,1,0,0
