counter_id,date,time,channel_1,channel_2
20,22/03/2015,0,0,2
20,22/03/2015,1,0,0
20,22/03/2015,2,0,0
20,22/03/2015,3,0,0
20,22/03/2015,4,0,3
20,22/03/2015,5,1,0
20,22/03/2015,6,2,0
20,22/03/2015,7,4,8
20,22/03/2015,8,10,12
20,22/03/2015,9,9,35
20,22/03/2015,10,25,24
20,22/03/2015,11,32,16
20,22/03/2015,12,19,17
20,22/03/2015,13,23,23
20,22/03/2015,14,23,8
20,22/03/2015,15,26,15
20,22/03/2015,16,26,12
20,22/03/2015,17,15,19
20,22/03/2015,18,14,10
20,22/03/2015,19,5,3
20,22/03/2015,20,5,5
20,22/03/2015,21,3,2
20,22/03/2015,22,2,1
20,22/03/2015,23,1,1
20,23/03/2015,0,0,0
20,23/03/2015,1,1,0
20,23/03/2015,2,1,0
20,23/03/2015,3,0,0
20,23/03/2015,4,0,0
20,23/03/2015,5,3,0
20,23/03/2015,6,8,2
20,23/03/2015,7,42,9
20,23/03/2015,8,67,30
20,23/03/2015,9,16,18
20,23/03/2015,10,6,15
20,23/03/2015,11,14,18
20,23/03/2015,12,11,11
20,23/03/2015,13,11,6
20,23/03/2015,14,14,7
20,23/03/2015,15,14,29
20,23/03/2015,16,24,28
20,23/03/2015,17,22,57
20,23/03/2015,18,18,39
20,23/03/2015,19,8,19
20,23/03/2015,20,3,7
20,23/03/2015,21,1,9
20,23/03/2015,22,6,5
20,23/03/2015,23,1,1
20,24/03/2015,0,0,0
20,24/03/2015,1,0,0
20,24/03/2015,2,0,0
20,24/03/2015,3,0,0
20,24/03/2015,4,0,0
20,24/03/2015,5,3,0
20,24/03/2015,6,16,1
20,24/03/2015,7,35,14
20,24/03/2015,8,81,30
20,24/03/2015,9,14,21
20,24/03/2015,10,10,15
20,24/03/2015,11,14,9
20,24/03/2015,12,9,10
20,24/03/2015,13,12,4
20,24/03/2015,14,11,9
20,24/03/2015,15,5,25
20,24/03/2015,16,17,39
20,24/03/2015,17,18,45
20,24/03/2015,18,20,32
20,24/03/2015,19,5,13
20,24/03/2015,20,3,12
20,24/03/2015,21,3,8
20,24/03/2015,22,1,1
20,24/03/2015,23,1,1
20,25/03/2015,0,0,2
20,25/03/2015,1,0,0
20,25/03/2015,2,0,0
20,25/03/2015,3,0,0
20,25/03/2015,4,0,0
20,25/03/2015,5,4,0
20,25/03/2015,6,21,9
20,25/03/2015,7,33,6
20,25/03/2015,8,72,29
20,25/03/2015,9,28,14
20,25/03/2015,10,9,14
20,25/03/2015,11,12,18
20,25/03/2015,12,14,18
20,25/03/2015,13,11,14
20,25/03/2015,14,15,21
20,25/03/2015,15,23,30
20,25/03/2015,16,18,44
20,25/03/2015,17,21,50
20,25/03/2015,18,9,30
20,25/03/2015,19,8,17
20,25/03/2015,20,6,8
20,25/03/2015,21,3,5
20,25/03/2015,22,1,2
20,25/03/2015,23,0,0
20,26/03/2015,0,0,0
20,26/03/2015,1,0,1
20,26/03/2015,2,0,0
20,26/03/2015,3,0,0
20,26/03/2015,4,0,0
20,26/03/2015,5,2,0
20,26/03/2015,6,12,1
20,26/03/2015,7,21,9
20,26/03/2015,8,37,14
20,26/03/2015,9,8,10
20,26/03/2015,10,6,5
20,26/03/2015,11,1,5
20,26/03/2015,12,10,3
20,26/03/2015,13,9,8
20,26/03/2015,14,10,9
20,26/03/2015,15,14,17
20,26/03/2015,16,14,25
20,26/03/2015,17,17,47
20,26/03/2015,18,26,33
20,26/03/2015,19,14,24
20,26/03/2015,20,4,7
20,26/03/2015,21,5,3
20,26/03/2015,22,0,2
20,26/03/2015,23,0,1
20,27/03/2015,0,0,2
20,27/03/2015,1,0,0
20,27/03/2015,2,0,0
20,27/03/2015,3,0,0
20,27/03/2015,4,0,0
20,27/03/2015,5,2,1
20,27/03/2015,6,10,4
20,27/03/2015,7,36,15
20,27/03/2015,8,67,19
20,27/03/2015,9,21,20
20,27/03/2015,10,8,18
20,27/03/2015,11,9,10
20,27/03/2015,12,25,20
20,27/03/2015,13,6,11
20,27/03/2015,14,17,15
20,27/03/2015,15,28,30
20,27/03/2015,16,14,34
20,27/03/2015,17,22,49
20,27/03/2015,18,6,16
20,27/03/2015,19,2,4
20,27/03/2015,20,3,1
20,27/03/2015,21,1,2
20,27/03/2015,22,0,0
20,27/03/2015,23,1,1
20,28/03/2015,0,0,1
20,28/03/2015,1,0,0
20,28/03/2015,2,1,0
20,28/03/2015,3,0,2
20,28/03/2015,4,0,0
20,28/03/2015,5,1,0
20,28/03/2015,6,2,0
20,28/03/2015,7,4,2
20,28/03/2015,8,4,3
20,28/03/2015,9,1,2
20,28/03/2015,10,6,4
20,28/03/2015,11,17,8
20,28/03/2015,12,9,20
20,28/03/2015,13,4,9
20,28/03/2015,14,9,5
20,28/03/2015,15,8,7
20,28/03/2015,16,5,3
20,28/03/2015,17,1,3
20,28/03/2015,18,2,6
20,28/03/2015,19,3,1
20,28/03/2015,20,2,1
20,28/03/2015,21,1,1
20,28/03/2015,22,0,1
20,28/03/2015,23,0,0
20,05/04/2015,0,1,0
20,05/04/2015,1,0,0
20,05/04/2015,2,0,0
20,05/04/2015,3,1,0
20,05/04/2015,4,0,3
20,05/04/2015,5,2,2
20,05/04/2015,6,2,1
20,05/04/2015,7,6,4
20,05/04/2015,8,3,16
20,05/04/2015,9,18,22
20,05/04/2015,10,20,36
20,05/04/2015,11,28,36
20,05/04/2015,12,32,25
20,05/04/2015,13,21,30
20,05/04/2015,14,26,12
20,05/04/2015,15,22,7
20,05/04/2015,16,26,14
20,05/04/2015,17,22,14
20,05/04/2015,18,27,30
20,05/04/2015,19,15,13
20,05/04/2015,20,10,3
20,05/04/2015,21,0,0
20,05/04/2015,22,1,3
20,05/04/2015,23,1,0
20,06/04/2015,0,2,0
20,06/04/2015,1,1,0
20,06/04/2015,2,0,0
20,06/04/2015,3,1,0
20,06/04/2015,4,0,1
20,06/04/2015,5,1,4
20,06/04/2015,6,6,2
20,06/04/2015,7,17,2
20,06/04/2015,8,19,12
20,06/04/2015,9,11,15
20,06/04/2015,10,19,35
20,06/04/2015,11,32,38
20,06/04/2015,12,23,20
20,06/04/2015,13,30,29
20,06/04/2015,14,22,31
