counter_id,date,time,channel_1,channel_2
21,22/03/2015,0,0,0
21,22/03/2015,1,0,0
21,22/03/2015,2,0,0
21,22/03/2015,3,0,0
21,22/03/2015,4,0,0
21,22/03/2015,5,0,0
21,22/03/2015,6,0,0
21,22/03/2015,7,0,0
21,22/03/2015,8,0,0
21,22/03/2015,9,0,0
21,22/03/2015,10,0,0
21,22/03/2015,11,0,0
21,22/03/2015,12,0,0
21,22/03/2015,13,0,0
21,22/03/2015,14,0,0
21,22/03/2015,15,0,0
21,22/03/2015,16,0,0
21,22/03/2015,17,0,0
21,22/03/2015,18,0,1
21,22/03/2015,19,0,0
21,22/03/2015,20,0,0
21,22/03/2015,21,0,0
21,22/03/2015,22,1,1
21,22/03/2015,23,0,1
21,23/03/2015,0,0,0
21,23/03/2015,1,0,0
21,23/03/2015,2,0,0
21,23/03/2015,3,0,0
21,23/03/2015,4,0,0
21,23/03/2015,5,0,0
21,23/03/2015,6,4,0
21,23/03/2015,7,8,2
21,23/03/2015,8,25,6
21,23/03/2015,9,4,0
21,23/03/2015,10,5,2
21,23/03/2015,11,1,2
21,23/03/2015,12,3,6
21,23/03/2015,13,2,3
21,23/03/2015,14,1,7
21,23/03/2015,15,3,8
21,23/03/2015,16,8,7
21,23/03/2015,17,4,35
21,23/03/2015,18,1,21
21,23/03/2015,19,1,10
21,23/03/2015,20,4,1
21,23/03/2015,21,0,2
21,23/03/2015,22,1,1
21,23/03/2015,23,0,0
21,24/03/2015,0,0,0
21,24/03/2015,1,0,0
21,24/03/2015,2,0,0
21,24/03/2015,3,0,0
21,24/03/2015,4,0,0
21,24/03/2015,5,0,0
21,24/03/2015,6,4,0
21,24/03/2015,7,5,4
21,24/03/2015,8,23,9
21,24/03/2015,9,6,0
21,24/03/2015,10,4,4
21,24/03/2015,11,3,2
21,24/03/2015,12,4,3
21,24/03/2015,13,1,3
21,24/03/2015,14,2,3
21,24/03/2015,15,7,13
21,24/03/2015,16,3,6
21,24/03/2015,17,5,25
21,24/03/2015,18,7,18
21,24/03/2015,19,0,8
21,24/03/2015,20,2,2
21,24/03/2015,21,0,1
21,24/03/2015,22,0,2
21,24/03/2015,23,0,1
21,25/03/2015,0,0,0
21,25/03/2015,1,0,0
21,25/03/2015,2,0,0
21,25/03/2015,3,0,0
21,25/03/2015,4,0,0
21,25/03/2015,5,0,0
21,25/03/2015,6,1,2
21,25/03/2015,7,8,0
21,25/03/2015,8,20,5
21,25/03/2015,9,12,3
21,25/03/2015,10,6,3
21,25/03/2015,11,1,4
21,25/03/2015,12,1,0
21,25/03/2015,13,3,3
21,25/03/2015,14,1,3
21,25/03/2015,15,4,4
21,25/03/2015,16,5,16
21,25/03/2015,17,4,24
21,25/03/2015,18,3,16
21,25/03/2015,19,3,3
21,25/03/2015,20,0,4
21,25/03/2015,21,0,0
21,25/03/2015,22,0,1
21,25/03/2015,23,0,1
21,26/03/2015,0,0,1
21,26/03/2015,1,0,0
21,26/03/2015,2,0,0
21,26/03/2015,3,0,0
21,26/03/2015,4,0,0
21,26/03/2015,5,0,0
21,26/03/2015,6,4,0
21,26/03/2015,7,8,1
21,26/03/2015,8,12,6
21,26/03/2015,9,7,0
21,26/03/2015,10,3,0
21,26/03/2015,11,3,0
21,26/03/2015,12,3,1
21,26/03/2015,13,1,3
21,26/03/2015,14,0,4
21,26/03/2015,15,6,2
21,26/03/2015,16,2,1
21,26/03/2015,17,5,22
21,26/03/2015,18,1,11
21,26/03/2015,19,2,1
21,26/03/2015,20,0,2
21,26/03/2015,21,0,3
21,26/03/2015,22,2,1
21,26/03/2015,23,0,1
21,27/03/2015,0,0,1
21,27/03/2015,1,0,0
21,27/03/2015,2,0,0
21,27/03/2015,3,0,0
21,27/03/2015,4,0,0
21,27/03/2015,5,1,0
21,27/03/2015,6,4,1
21,27/03/2015,7,9,2
21,27/03/2015,8,19,6
21,27/03/2015,9,8,0
21,27/03/2015,10,2,2
21,27/03/2015,11,2,7
21,27/03/2015,12,9,5
21,27/03/2015,13,3,13
21,27/03/2015,14,1,5
21,27/03/2015,15,3,7
21,27/03/2015,16,3,8
21,27/03/2015,17,5,17
21,27/03/2015,18,4,12
21,27/03/2015,19,0,2
21,27/03/2015,20,1,1
21,27/03/2015,21,0,1
21,27/03/2015,22,0,1
21,27/03/2015,23,0,0
21,28/03/2015,0,0,0
21,28/03/2015,1,0,0
21,28/03/2015,2,0,0
21,28/03/2015,3,0,0
21,28/03/2015,4,0,1
21,28/03/2015,5,0,0
21,28/03/2015,6,0,0
21,28/03/2015,7,1,0
21,28/03/2015,8,1,0
21,28/03/2015,9,1,0
21,28/03/2015,10,0,0
21,28/03/2015,11,1,1
21,28/03/2015,12,0,4
21,28/03/2015,13,5,0
21,28/03/2015,14,0,2
21,28/03/2015,15,1,1
21,28/03/2015,16,0,1
21,28/03/2015,17,1,3
21,28/03/2015,18,0,0
21,28/03/2015,19,0,2
21,28/03/2015,20,0,2
21,28/03/2015,21,0,0
21,28/03/2015,22,0,2
21,28/03/2015,23,0,0
21,05/04/2015,0,0,1
21,05/04/2015,1,0,0
21,05/04/2015,2,0,0
21,05/04/2015,3,0,0
21,05/04/2015,4,0,0
21,05/04/2015,5,0,0
21,05/04/2015,6,0,0
21,05/04/2015,7,1,0
21,05/04/2015,8,1,0
21,05/04/2015,9,3,1
21,05/04/2015,10,1,5
21,05/04/2015,11,0,1
21,05/04/2015,12,2,0
21,05/04/2015,13,3,3
21,05/04/2015,14,3,4
21,05/04/2015,15,1,5
21,05/04/2015,16,2,3
21,05/04/2015,17,2,7
21,05/04/2015,18,2,5
21,05/04/2015,19,1,5
21,05/04/2015,20,0,1
21,05/04/2015,21,2,0
21,05/04/2015,22,1,1
21,05/04/2015,23,0,1
21,06/04/2015,0,0,0
21,06/04/2015,1,0,0
21,06/04/2015,2,0,0
21,06/04/2015,3,0,0
21,06/04/2015,4,0,0
21,06/04/2015,5,0,0
21,06/04/2015,6,0,0
21,06/04/2015,7,8,2
21,06/04/2015,8,6,2
21,06/04/2015,9,2,1
21,06/04/2015,10,4,2
21,06/04/2015,11,2,2
21,06/04/2015,12,3,1
21,06/04/2015,13,2,2
21,06/04/2015,14,4,5
21,06/04/2015,15,4,6
21,06/04/2015,16,3,8
21,06/04/2015,17,1,9
21,06/04/2015,18,3,3
21,06/04/2015,19,1,2
21,06/04/2015,20,0,2
21,06/04/2015,21,0,2
21,06/04/2015,22,0,0
21,06/04/2015,23,0,2
21,07/04/2015,0,1,0
21,07/04/2015,1,0,0
21,07/04/2015,2,0,0
21,07/04/2015,3,0,0
21,07/04/2015,4,0,0
21,07/04/2015,5,0,0
21,07/04/2015,6,4,0
21,07/04/2015,7,13,0
21,07/04/2015,8,17,4
21,07/04/2015,9,7,1
21,07/04/2015,10,5,1
21,07/04/2015,11,2,3
21,07/04/2015,12,1,5
21,07/04/2015,13,5,6
21,07/04/2015,14,4,4
21,07/04/2015,15,3,4
21,07/04/2015,16,2,6
21,07/04/2015,17,6,30
21,07/04/2015,18,0,17
21,07/04/2015,19,2,5
21,07/04/2015,20,1,0
21,07/04/2015,21,0,1
21,07/04/2015,22,0,1
21,07/04/2015,23,0,0
21,08/04/2015,0,0,0
21,08/04/2015,1,0,0
21,08/04/2015,2,0,0
21,08/04/2015,3,0,1
21,08/04/2015,4,0,0
21,08/04/2015,5,0,0
21,08/04/2015,6,4,1
21,08/04/2015,7,7,2
21,08/04/2015,8,19,6
21,08/04/2015,9,8,2
21,08/04/2015,10,5,1
21,08/04/2015,11,3,2
21,08/04/2015,12,2,4
21,08/04/2015,13,3,3
21,08/04/2015,14,3,2
21,08/04/2015,15,4,4
21,08/04/2015,16,2,6
21,08/04/2015,17,2,35
21,08/04/2015,18,4,15
21,08/04/2015,19,1,5
21,08/04/2015,20,3,3
21,08/04/2015,21,0,3
21,08/04/2015,22,1,1
21,08/04/2015,23,0,0
21,09/04/2015,0,0,0
21,09/04/2015,1,0,0
21,09/04/2015,2,1,0
21,09/04/2015,3,0,0
21,09/04/2015,4,0,0
21,09/04/2015,5,0,0
