counter_id,date,time,channel_1,channel_2
22,22/03/2015,0,0,0
22,22/03/2015,1,0,0
22,22/03/2015,2,0,0
22,22/03/2015,3,0,0
22,22/03/2015,4,0,0
22,22/03/2015,5,0,0
22,22/03/2015,6,0,0
22,22/03/2015,7,0,0
22,22/03/2015,8,0,0
22,22/03/2015,9,0,0
22,22/03/2015,10,10,20
22,22/03/2015,11,29,28
22,22/03/2015,12,19,20
22,22/03/2015,13,14,20
22,22/03/2015,14,27,22
22,22/03/2015,15,25,25
22,22/03/2015,16,23,34
22,22/03/2015,17,23,14
22,22/03/2015,18,16,11
22,22/03/2015,19,9,19
22,22/03/2015,20,4,9
22,22/03/2015,21,5,4
22,22/03/2015,22,9,8
22,22/03/2015,23,4,2
22,23/03/2015,0,4,3
22,23/03/2015,1,1,0
22,23/03/2015,2,3,0
22,23/03/2015,3,0,0
22,23/03/2015,4,0,0
22,23/03/2015,5,0,1
22,23/03/2015,6,6,5
22,23/03/2015,7,19,28
22,23/03/2015,8,30,92
22,23/03/2015,9,27,48
22,23/03/2015,10,9,25
22,23/03/2015,11,14,17
22,23/03/2015,12,21,28
22,23/03/2015,13,13,24
22,23/03/2015,14,25,12
22,23/03/2015,15,21,26
22,23/03/2015,16,36,48
22,23/03/2015,17,72,55
22,23/03/2015,18,31,28
22,23/03/2015,19,11,20
22,23/03/2015,20,11,17
22,23/03/2015,21,16,12
22,23/03/2015,22,6,5
22,23/03/2015,23,5,1
22,24/03/2015,0,2,1
22,24/03/2015,1,2,1
22,24/03/2015,2,1,1
22,24/03/2015,3,0,1
22,24/03/2015,4,0,0
22,24/03/2015,5,2,1
22,24/03/2015,6,5,6
22,24/03/2015,7,19,20
22,24/03/2015,8,33,92
22,24/03/2015,9,25,41
22,24/03/2015,10,15,30
22,24/03/2015,11,13,13
22,24/03/2015,12,16,21
22,24/03/2015,13,19,24
22,24/03/2015,14,25,26
22,24/03/2015,15,20,40
22,24/03/2015,16,23,46
22,24/03/2015,17,59,48
22,24/03/2015,18,39,38
22,24/03/2015,19,25,29
22,24/03/2015,20,13,19
22,24/03/2015,21,8,7
22,24/03/2015,22,10,7
22,24/03/2015,23,6,6
22,25/03/2015,0,3,3
22,25/03/2015,1,0,0
22,25/03/2015,2,1,2
22,25/03/2015,3,0,1
22,25/03/2015,4,0,0
22,25/03/2015,5,2,0
22,25/03/2015,6,3,3
22,25/03/2015,7,12,26
22,25/03/2015,8,31,83
22,25/03/2015,9,19,53
22,25/03/2015,10,17,33
22,25/03/2015,11,7,27
22,25/03/2015,12,14,24
22,25/03/2015,13,30,37
22,25/03/2015,14,27,34
22,25/03/2015,15,19,25
22,25/03/2015,16,37,33
22,25/03/2015,17,63,46
22,25/03/2015,18,33,30
22,25/03/2015,19,17,20
22,25/03/2015,20,11,20
22,25/03/2015,21,11,12
22,25/03/2015,22,12,11
22,25/03/2015,23,2,2
22,26/03/2015,0,1,1
22,26/03/2015,1,0,1
22,26/03/2015,2,1,0
22,26/03/2015,3,0,0
22,26/03/2015,4,0,1
22,26/03/2015,5,2,0
22,26/03/2015,6,2,1
22,26/03/2015,7,7,22
22,26/03/2015,8,23,53
22,26/03/2015,9,13,33
22,26/03/2015,10,11,14
22,26/03/2015,11,7,14
22,26/03/2015,12,12,21
22,26/03/2015,13,14,17
22,26/03/2015,14,10,19
22,26/03/2015,15,26,21
22,26/03/2015,16,28,31
22,26/03/2015,17,56,51
22,26/03/2015,18,28,27
22,26/03/2015,19,17,23
22,26/03/2015,20,16,25
22,26/03/2015,21,13,9
22,26/03/2015,22,5,3
22,26/03/2015,23,9,7
22,27/03/2015,0,2,3
22,27/03/2015,1,2,0
22,27/03/2015,2,1,0
22,27/03/2015,3,0,0
22,27/03/2015,4,1,0
22,27/03/2015,5,1,0
22,27/03/2015,6,4,5
22,27/03/2015,7,9,28
22,27/03/2015,8,33,58
22,27/03/2015,9,30,45
22,27/03/2015,10,12,20
22,27/03/2015,11,11,31
22,27/03/2015,12,24,28
22,27/03/2015,13,22,40
22,27/03/2015,14,11,24
22,27/03/2015,15,27,32
22,27/03/2015,16,28,22
22,27/03/2015,17,45,40
22,27/03/2015,18,23,35
22,27/03/2015,19,20,17
22,27/03/2015,20,10,15
22,27/03/2015,21,7,7
22,27/03/2015,22,2,11
22,27/03/2015,23,7,4
22,28/03/2015,0,4,2
22,28/03/2015,1,5,0
22,28/03/2015,2,1,0
22,28/03/2015,3,2,0
22,28/03/2015,4,1,0
22,28/03/2015,5,0,0
22,28/03/2015,6,3,0
22,28/03/2015,7,3,1
22,28/03/2015,8,2,10
22,28/03/2015,9,8,10
22,28/03/2015,10,12,14
22,28/03/2015,11,7,12
22,28/03/2015,12,3,12
22,28/03/2015,13,17,14
22,28/03/2015,14,7,15
22,28/03/2015,15,9,16
22,28/03/2015,16,9,19
22,28/03/2015,17,13,14
22,28/03/2015,18,11,9
22,28/03/2015,19,5,12
22,28/03/2015,20,4,10
22,28/03/2015,21,11,5
22,28/03/2015,22,5,7
22,28/03/2015,23,6,3
22,05/04/2015,0,3,1
22,05/04/2015,1,3,5
22,05/04/2015,2,1,1
22,05/04/2015,3,0,0
22,05/04/2015,4,0,0
22,05/04/2015,5,2,2
22,05/04/2015,6,3,0
22,05/04/2015,7,5,4
