counter_id,date,time,channel_1,channel_2
24,22/03/2015,0,0,0
24,22/03/2015,1,0,0
24,22/03/2015,2,0,0
24,22/03/2015,3,0,0
24,22/03/2015,4,0,0
24,22/03/2015,5,1,0
24,22/03/2015,6,0,0
24,22/03/2015,7,1,3
24,22/03/2015,8,5,5
24,22/03/2015,9,13,9
24,22/03/2015,10,21,14
24,22/03/2015,11,18,10
24,22/03/2015,12,11,12
24,22/03/2015,13,15,15
24,22/03/2015,14,15,14
24,22/03/2015,15,15,15
24,22/03/2015,16,12,16
24,22/03/2015,17,8,12
24,22/03/2015,18,6,7
24,22/03/2015,19,2,4
24,22/03/2015,20,4,1
24,22/03/2015,21,1,0
24,22/03/2015,22,0,0
24,22/03/2015,23,0,0
24,23/03/2015,0,0,0
24,23/03/2015,1,0,0
24,23/03/2015,2,0,1
24,23/03/2015,3,0,0
24,23/03/2015,4,0,0
24,23/03/2015,5,0,0
24,23/03/2015,6,5,2
24,23/03/2015,7,26,21
24,23/03/2015,8,59,36
24,23/03/2015,9,21,15
24,23/03/2015,10,7,8
24,23/03/2015,11,9,5
24,23/03/2015,12,7,3
24,23/03/2015,13,6,5
24,23/03/2015,14,13,11
24,23/03/2015,15,12,13
24,23/03/2015,16,35,26
24,23/03/2015,17,46,49
24,23/03/2015,18,29,18
24,23/03/2015,19,9,6
24,23/03/2015,20,2,0
24,23/03/2015,21,2,6
24,23/03/2015,22,1,1
24,23/03/2015,23,0,0
24,24/03/2015,0,2,1
24,24/03/2015,1,0,0
24,24/03/2015,2,0,0
24,24/03/2015,3,0,0
24,24/03/2015,4,0,0
24,24/03/2015,5,0,1
24,24/03/2015,6,5,5
24,24/03/2015,7,27,24
24,24/03/2015,8,64,42
24,24/03/2015,9,11,15
24,24/03/2015,10,6,8
24,24/03/2015,11,8,8
24,24/03/2015,12,13,6
24,24/03/2015,13,6,3
24,24/03/2015,14,7,5
24,24/03/2015,15,16,18
24,24/03/2015,16,31,26
24,24/03/2015,17,50,45
24,24/03/2015,18,30,21
24,24/03/2015,19,5,5
24,24/03/2015,20,5,4
24,24/03/2015,21,4,2
24,24/03/2015,22,5,2
24,24/03/2015,23,2,0
24,25/03/2015,0,0,0
