counter_id,date,time,channel_1,channel_2,
25,22/03/2015,0,0,0,0
25,22/03/2015,1,0,0,0
25,22/03/2015,2,0,0,0
25,22/03/2015,3,0,0,0
25,22/03/2015,4,0,0,0
25,22/03/2015,5,1,0,1
25,22/03/2015,6,0,0,0
25,22/03/2015,7,1,0,1
25,22/03/2015,8,1,1,2
25,22/03/2015,9,0,1,1
25,22/03/2015,10,1,1,2
25,22/03/2015,11,1,5,6
25,22/03/2015,12,2,3,5
25,22/03/2015,13,2,2,4
25,22/03/2015,14,1,4,5
25,22/03/2015,15,4,0,4
25,22/03/2015,16,1,1,2
25,22/03/2015,17,1,4,5
25,22/03/2015,18,3,0,3
25,22/03/2015,19,0,0,0
25,22/03/2015,20,0,0,0
25,22/03/2015,21,0,0,0
25,22/03/2015,22,0,0,0
25,22/03/2015,23,0,0,0
25,23/03/2015,0,0,0,0
25,23/03/2015,1,0,0,0
25,23/03/2015,2,0,0,0
25,23/03/2015,3,0,0,0
25,23/03/2015,4,0,0,0
25,23/03/2015,5,1,0,1
25,23/03/2015,6,0,0,0
25,23/03/2015,7,1,4,5
25,23/03/2015,8,1,4,5
25,23/03/2015,9,1,2,3
25,23/03/2015,10,0,1,1
25,23/03/2015,11,0,0,0
25,23/03/2015,12,0,1,1
25,23/03/2015,13,1,0,1
25,23/03/2015,14,0,0,0
25,23/03/2015,15,0,0,0
25,23/03/2015,16,0,0,0
25,23/03/2015,17,3,2,5
25,23/03/2015,18,5,1,6
25,23/03/2015,19,0,0,0
25,23/03/2015,20,0,0,0
25,23/03/2015,21,0,0,0
25,23/03/2015,22,0,0,0
25,23/03/2015,23,0,0,0
25,24/03/2015,0,0,0,0
25,24/03/2015,1,0,0,0
25,24/03/2015,2,0,0,0
25,24/03/2015,3,0,0,0
25,24/03/2015,4,0,0,0
25,24/03/2015,5,1,0,1
25,24/03/2015,6,1,0,1
25,24/03/2015,7,4,1,5
25,24/03/2015,8,4,3,7
25,24/03/2015,9,0,1,1
25,24/03/2015,10,2,1,3
25,24/03/2015,11,0,0,0
25,24/03/2015,12,0,0,0
25,24/03/2015,13,0,0,0
25,24/03/2015,14,0,1,1
25,24/03/2015,15,0,1,1
25,24/03/2015,16,0,2,2
25,24/03/2015,17,3,5,8
25,24/03/2015,18,1,0,1
25,24/03/2015,19,0,1,1
25,24/03/2015,20,0,0,0
25,24/03/2015,21,0,0,0
25,24/03/2015,22,0,0,0
25,24/03/2015,23,0,0,0
25,25/03/2015,0,0,0,0
25,25/03/2015,1,0,0,0
25,25/03/2015,2,0,0,0
25,25/03/2015,3,0,0,0
25,25/03/2015,4,0,0,0
25,25/03/2015,5,0,0,0
25,25/03/2015,6,1,0,1
25,25/03/2015,7,3,0,3
25,25/03/2015,8,3,1,4
25,25/03/2015,9,0,1,1
25,25/03/2015,10,8,1,9
25,25/03/2015,11,1,1,2
25,25/03/2015,12,1,3,4
25,25/03/2015,13,5,2,7
25,25/03/2015,14,0,0,0
25,25/03/2015,15,0,0,0
25,25/03/2015,16,2,4,6
25,25/03/2015,17,0,3,3
25,25/03/2015,18,3,3,6
25,25/03/2015,19,1,0,1
25,25/03/2015,20,0,0,0
25,25/03/2015,21,0,0,0
25,25/03/2015,22,0,0,0
25,25/03/2015,23,0,0,0
25,26/03/2015,0,0,0,0
25,26/03/2015,1,0,0,0
25,26/03/2015,2,0,0,0
25,26/03/2015,3,0,0,0
25,26/03/2015,4,0,0,0
25,26/03/2015,5,0,0,0
25,26/03/2015,6,0,0,0
25,26/03/2015,7,1,1,2
25,26/03/2015,8,4,2,6
25,26/03/2015,9,0,2,2
25,26/03/2015,10,0,0,0
25,26/03/2015,11,1,1,2
25,26/03/2015,12,1,0,1
25,26/03/2015,13,0,0,0
25,26/03/2015,14,0,0,0
25,26/03/2015,15,1,0,1
25,26/03/2015,16,1,2,3
25,26/03/2015,17,1,1,2
25,26/03/2015,18,2,1,3
25,26/03/2015,19,1,1,2
25,26/03/2015,20,0,0,0
25,26/03/2015,21,0,0,0
25,26/03/2015,22,0,0,0
25,26/03/2015,23,0,0,0
25,27/03/2015,0,0,0,0
25,27/03/2015,1,0,0,0
25,27/03/2015,2,0,0,0
25,27/03/2015,3,0,0,0
25,27/03/2015,4,0,0,0
25,27/03/2015,5,0,0,0
25,27/03/2015,6,0,1,1
25,27/03/2015,7,3,4,7
25,27/03/2015,8,2,1,3
25,27/03/2015,9,1,4,5
25,27/03/2015,10,2,0,2
25,27/03/2015,11,0,0,0
25,27/03/2015,12,0,1,1
25,27/03/2015,13,3,3,6
25,27/03/2015,14,3,0,3
25,27/03/2015,15,1,1,2
25,27/03/2015,16,6,7,13
25,27/03/2015,17,2,0,2
25,27/03/2015,18,2,0,2
25,27/03/2015,19,1,1,2
25,27/03/2015,20,1,0,1
25,27/03/2015,21,0,0,0
25,27/03/2015,22,0,0,0
25,27/03/2015,23,0,0,0
25,28/03/2015,0,0,0,0
25,28/03/2015,1,0,0,0
25,28/03/2015,2,0,0,0
25,28/03/2015,3,0,0,0
25,28/03/2015,4,0,0,0
25,28/03/2015,5,0,0,0
25,28/03/2015,6,0,0,0
25,28/03/2015,7,1,0,1
25,28/03/2015,8,0,1,1
25,28/03/2015,9,0,0,0
25,28/03/2015,10,0,0,0
25,28/03/2015,11,0,0,0
25,28/03/2015,12,0,0,0
25,28/03/2015,13,0,1,1
25,28/03/2015,14,0,1,1
25,28/03/2015,15,0,0,0
25,28/03/2015,16,0,0,0
25,28/03/2015,17,0,0,0
25,28/03/2015,18,0,0,0
25,28/03/2015,19,0,0,0
25,28/03/2015,20,0,0,0
25,28/03/2015,21,0,0,0
25,28/03/2015,22,0,0,0
25,28/03/2015,23,0,0,0
25,05/04/2015,0,0,0,0
25,05/04/2015,1,0,0,0
25,05/04/2015,2,0,0,0
25,05/04/2015,3,0,0,0
25,05/04/2015,4,0,0,0
25,05/04/2015,5,0,0,0
25,05/04/2015,6,0,0,0
25,05/04/2015,7,0,0,0
25,05/04/2015,8,1,1,2
25,05/04/2015,9,1,4,5
25,05/04/2015,10,0,3,3
25,05/04/2015,11,1,4,5
25,05/04/2015,12,0,0,0
25,05/04/2015,13,2,1,3
25,05/04/2015,14,7,1,8
25,05/04/2015,15,10,6,16
25,05/04/2015,16,4,2,6
25,05/04/2015,17,8,0,8
25,05/04/2015,18,1,0,1
25,05/04/2015,19,0,4,4
25,05/04/2015,20,0,0,0
25,05/04/2015,21,0,0,0
25,05/04/2015,22,0,0,0
25,05/04/2015,23,0,0,0
25,06/04/2015,0,0,0,0
25,06/04/2015,1,0,0,0
25,06/04/2015,2,0,0,0
25,06/04/2015,3,0,0,0
25,06/04/2015,4,0,0,0
25,06/04/2015,5,0,0,0
25,06/04/2015,6,0,1,1
25,06/04/2015,7,1,0,1
25,06/04/2015,8,1,0,1
25,06/04/2015,9,0,2,2
25,06/04/2015,10,3,0,3
25,06/04/2015,11,7,2,9
25,06/04/2015,12,2,2,4
25,06/04/2015,13,5,3,8
25,06/04/2015,14,0,2,2
25,06/04/2015,15,4,4,8
25,06/04/2015,16,6,5,11
25,06/04/2015,17,7,4,11
25,06/04/2015,18,2,1,3
25,06/04/2015,19,3,5,8
25,06/04/2015,20,0,0,0
25,06/04/2015,21,0,1,1
25,06/04/2015,22,0,0,0
25,06/04/2015,23,0,0,0
25,07/04/2015,0,0,0,0
25,07/04/2015,1,0,0,0
25,07/04/2015,2,0,0,0
25,07/04/2015,3,0,0,0
25,07/04/2015,4,0,0,0
25,07/04/2015,5,1,0,1
25,07/04/2015,6,0,0,0
25,07/04/2015,7,0,2,2
25,07/04/2015,8,1,2,3
25,07/04/2015,9,0,2,2
25,07/04/2015,10,0,0,0
25,07/04/2015,11,0,0,0
25,07/04/2015,12,0,0,0
25,07/04/2015,13,0,0,0
25,07/04/2015,14,1,2,3
25,07/04/2015,15,1,5,6
25,07/04/2015,16,2,0,2
25,07/04/2015,17,4,6,10
25,07/04/2015,18,2,2,4
25,07/04/2015,19,3,6,9
25,07/04/2015,20,0,0,0
25,07/04/2015,21,0,0,0
25,07/04/2015,22,0,0,0
25,07/04/2015,23,0,0,0
25,08/04/2015,0,0,0,0
25,08/04/2015,1,0,0,0
25,08/04/2015,2,0,0,0
25,08/04/2015,3,0,0,0
25,08/04/2015,4,0,0,0
25,08/04/2015,5,1,0,1
25,08/04/2015,6,1,0,1
25,08/04/2015,7,1,3,4
25,08/04/2015,8,2,0,2
25,08/04/2015,9,0,2,2
25,08/04/2015,10,1,0,1
25,08/04/2015,11,3,0,3
25,08/04/2015,12,0,0,0
25,08/04/2015,13,1,1,2
25,08/04/2015,14,1,2,3
25,08/04/2015,15,0,1,1
25,08/04/2015,16,1,0,1
25,08/04/2015,17,3,4,7
25,08/04/2015,18,6,4,10
25,08/04/2015,19,2,2,4
25,08/04/2015,20,0,2,2
25,08/04/2015,21,0,0,0
25,08/04/2015,22,0,0,0
25,08/04/2015,23,0,0,0
25,09/04/2015,0,0,0,0
