counter_id,date,time,channel_1,channel_2
26,22/03/2015,0,0,1
26,22/03/2015,1,0,0
26,22/03/2015,2,0,0
26,22/03/2015,3,1,0
26,22/03/2015,4,0,0
26,22/03/2015,5,1,2
26,22/03/2015,6,1,1
26,22/03/2015,7,2,3
26,22/03/2015,8,3,4
26,22/03/2015,9,2,5
26,22/03/2015,10,4,4
26,22/03/2015,11,2,7
26,22/03/2015,12,8,3
26,22/03/2015,13,5,2
26,22/03/2015,14,4,4
26,22/03/2015,15,7,6
26,22/03/2015,16,6,3
26,22/03/2015,17,9,2
26,22/03/2015,18,5,8
26,22/03/2015,19,0,0
26,22/03/2015,20,3,1
26,22/03/2015,21,1,3
26,22/03/2015,22,0,0
26,22/03/2015,23,1,0
26,23/03/2015,0,0,0
26,23/03/2015,1,0,1
26,23/03/2015,2,0,0
26,23/03/2015,3,1,0
26,23/03/2015,4,0,0
26,23/03/2015,5,1,1
26,23/03/2015,6,9,9
26,23/03/2015,7,10,38
26,23/03/2015,8,8,67
26,23/03/2015,9,2,23
26,23/03/2015,10,6,10
26,23/03/2015,11,8,2
26,23/03/2015,12,3,3
26,23/03/2015,13,4,1
26,23/03/2015,14,14,3
26,23/03/2015,15,13,6
26,23/03/2015,16,44,7
26,23/03/2015,17,62,8
26,23/03/2015,18,31,9
26,23/03/2015,19,6,5
26,23/03/2015,20,6,1
26,23/03/2015,21,5,4
26,23/03/2015,22,1,1
26,23/03/2015,23,1,0
26,24/03/2015,0,1,1
26,24/03/2015,1,0,0
26,24/03/2015,2,0,0
26,24/03/2015,3,1,0
26,24/03/2015,4,0,0
26,24/03/2015,5,0,1
26,24/03/2015,6,7,12
26,24/03/2015,7,10,40
26,24/03/2015,8,9,56
26,24/03/2015,9,6,18
26,24/03/2015,10,4,4
26,24/03/2015,11,9,4
26,24/03/2015,12,6,5
26,24/03/2015,13,6,1
26,24/03/2015,14,3,3
26,24/03/2015,15,10,4
26,24/03/2015,16,40,14
26,24/03/2015,17,67,12
26,24/03/2015,18,28,7
26,24/03/2015,19,12,3
26,24/03/2015,20,10,8
26,24/03/2015,21,2,3
26,24/03/2015,22,4,1
26,24/03/2015,23,1,1
26,25/03/2015,0,0,0
26,25/03/2015,1,0,0
26,25/03/2015,2,0,0
26,25/03/2015,3,1,0
26,25/03/2015,4,0,1
26,25/03/2015,5,1,1
26,25/03/2015,6,11,10
26,25/03/2015,7,6,52
26,25/03/2015,8,6,55
26,25/03/2015,9,6,18
26,25/03/2015,10,3,5
26,25/03/2015,11,6,5
26,25/03/2015,12,4,3
26,25/03/2015,13,5,4
26,25/03/2015,14,6,2
26,25/03/2015,15,13,2
26,25/03/2015,16,40,5
26,25/03/2015,17,57,10
26,25/03/2015,18,39,7
26,25/03/2015,19,11,2
26,25/03/2015,20,3,1
26,25/03/2015,21,4,3
26,25/03/2015,22,4,0
26,25/03/2015,23,0,1
26,26/03/2015,0,0,1
26,26/03/2015,1,0,0
26,26/03/2015,2,0,0
26,26/03/2015,3,0,0
26,26/03/2015,4,0,0
26,26/03/2015,5,4,1
26,26/03/2015,6,5,7
26,26/03/2015,7,5,35
26,26/03/2015,8,2,38
26,26/03/2015,9,6,9
26,26/03/2015,10,2,0
26,26/03/2015,11,5,1
26,26/03/2015,12,2,3
26,26/03/2015,13,4,0
26,26/03/2015,14,6,1
26,26/03/2015,15,8,1
26,26/03/2015,16,28,6
26,26/03/2015,17,47,6
26,26/03/2015,18,20,9
26,26/03/2015,19,9,3
26,26/03/2015,20,4,2
26,26/03/2015,21,0,5
26,26/03/2015,22,1,0
26,26/03/2015,23,0,1
26,27/03/2015,0,0,0
26,27/03/2015,1,0,1
26,27/03/2015,2,1,1
26,27/03/2015,3,1,0
26,27/03/2015,4,2,0
26,27/03/2015,5,1,1
26,27/03/2015,6,4,3
26,27/03/2015,7,8,43
26,27/03/2015,8,5,38
26,27/03/2015,9,4,18
26,27/03/2015,10,1,3
26,27/03/2015,11,9,3
26,27/03/2015,12,9,3
26,27/03/2015,13,11,3
26,27/03/2015,14,8,1
26,27/03/2015,15,15,6
26,27/03/2015,16,28,3
26,27/03/2015,17,40,10
26,27/03/2015,18,20,4
26,27/03/2015,19,7,1
26,27/03/2015,20,5,2
26,27/03/2015,21,1,4
26,27/03/2015,22,3,0
26,27/03/2015,23,0,0
26,28/03/2015,0,0,0
26,28/03/2015,1,0,0
26,28/03/2015,2,0,0
26,28/03/2015,3,1,0
26,28/03/2015,4,1,0
26,28/03/2015,5,1,1
26,28/03/2015,6,2,2
26,28/03/2015,7,0,1
26,28/03/2015,8,2,4
26,28/03/2015,9,1,1
26,28/03/2015,10,8,0
26,28/03/2015,11,1,0
26,28/03/2015,12,3,3
26,28/03/2015,13,11,1
26,28/03/2015,14,2,3
26,28/03/2015,15,2,3
26,28/03/2015,16,4,1
26,28/03/2015,17,1,1
26,28/03/2015,18,1,0
26,28/03/2015,19,0,0
26,28/03/2015,20,1,1
