counter_id,date,time,channel_1,channel_2
30,22/03/2015,0,0,3
30,22/03/2015,1,0,0
30,22/03/2015,2,0,0
30,22/03/2015,3,0,2
30,22/03/2015,4,0,0
30,22/03/2015,5,4,0
30,22/03/2015,6,3,1
30,22/03/2015,7,2,1
30,22/03/2015,8,2,4
30,22/03/2015,9,6,0
30,22/03/2015,10,12,6
30,22/03/2015,11,8,14
30,22/03/2015,12,9,2
30,22/03/2015,13,9,5
30,22/03/2015,14,10,8
30,22/03/2015,15,10,16
30,22/03/2015,16,5,4
30,22/03/2015,17,4,5
30,22/03/2015,18,2,11
30,22/03/2015,19,5,5
30,22/03/2015,20,1,1
30,22/03/2015,21,3,3
30,22/03/2015,22,2,1
30,22/03/2015,23,0,2
30,23/03/2015,0,1,1
30,23/03/2015,1,2,0
30,23/03/2015,2,0,0
30,23/03/2015,3,0,0
30,23/03/2015,4,0,1
30,23/03/2015,5,3,0
30,23/03/2015,6,6,3
30,23/03/2015,7,17,7
30,23/03/2015,8,40,19
30,23/03/2015,9,11,7
30,23/03/2015,10,6,9
30,23/03/2015,11,10,4
30,23/03/2015,12,5,6
30,23/03/2015,13,7,7
30,23/03/2015,14,11,15
30,23/03/2015,15,9,12
30,23/03/2015,16,15,16
30,23/03/2015,17,23,36
30,23/03/2015,18,9,23
30,23/03/2015,19,3,9
30,23/03/2015,20,2,4
30,23/03/2015,21,7,6
30,23/03/2015,22,3,1
30,23/03/2015,23,0,4
30,24/03/2015,0,0,0
30,24/03/2015,1,0,0
30,24/03/2015,2,1,0
30,24/03/2015,3,1,0
30,24/03/2015,4,0,0
30,24/03/2015,5,2,4
30,24/03/2015,6,9,3
30,24/03/2015,7,24,16
30,24/03/2015,8,54,19
30,24/03/2015,9,17,14
30,24/03/2015,10,10,5
30,24/03/2015,11,5,7
30,24/03/2015,12,7,3
30,24/03/2015,13,10,10
30,24/03/2015,14,9,8
30,24/03/2015,15,10,10
30,24/03/2015,16,14,15
30,24/03/2015,17,25,38
30,24/03/2015,18,10,24
30,24/03/2015,19,5,11
30,24/03/2015,20,8,2
30,24/03/2015,21,8,10
30,24/03/2015,22,5,0
30,24/03/2015,23,0,1
30,25/03/2015,0,1,0
30,25/03/2015,1,0,0
30,25/03/2015,2,1,1
30,25/03/2015,3,0,0
30,25/03/2015,4,0,0
30,25/03/2015,5,2,2
30,25/03/2015,6,11,1
30,25/03/2015,7,14,18
30,25/03/2015,8,41,14
30,25/03/2015,9,14,8
30,25/03/2015,10,9,8
30,25/03/2015,11,12,2
30,25/03/2015,12,8,9
30,25/03/2015,13,10,9
30,25/03/2015,14,6,10
30,25/03/2015,15,14,9
30,25/03/2015,16,19,8
30,25/03/2015,17,21,30
30,25/03/2015,18,8,25
30,25/03/2015,19,8,10
30,25/03/2015,20,7,11
30,25/03/2015,21,4,11
30,25/03/2015,22,2,3
30,25/03/2015,23,0,0
30,26/03/2015,0,0,1
30,26/03/2015,1,0,0
30,26/03/2015,2,1,3
30,26/03/2015,3,0,0
30,26/03/2015,4,0,0
30,26/03/2015,5,3,2
30,26/03/2015,6,10,2
30,26/03/2015,7,13,7
30,26/03/2015,8,29,10
30,26/03/2015,9,10,6
30,26/03/2015,10,9,10
30,26/03/2015,11,6,4
30,26/03/2015,12,7,7
30,26/03/2015,13,12,6
30,26/03/2015,14,6,9
30,26/03/2015,15,5,7
30,26/03/2015,16,17,9
30,26/03/2015,17,18,28
30,26/03/2015,18,9,13
30,26/03/2015,19,2,12
30,26/03/2015,20,5,4
30,26/03/2015,21,4,7
30,26/03/2015,22,2,5
30,26/03/2015,23,2,6
30,27/03/2015,0,0,0
30,27/03/2015,1,0,0
30,27/03/2015,2,0,1
30,27/03/2015,3,0,0
30,27/03/2015,4,0,0
30,27/03/2015,5,4,3
30,27/03/2015,6,9,2
30,27/03/2015,7,15,7
30,27/03/2015,8,31,14
30,27/03/2015,9,8,5
30,27/03/2015,10,5,8
30,27/03/2015,11,8,9
30,27/03/2015,12,6,6
30,27/03/2015,13,14,10
30,27/03/2015,14,12,7
30,27/03/2015,15,8,9
30,27/03/2015,16,12,16
30,27/03/2015,17,18,21
30,27/03/2015,18,6,16
30,27/03/2015,19,3,6
30,27/03/2015,20,2,6
30,27/03/2015,21,1,5
30,27/03/2015,22,2,5
30,27/03/2015,23,0,2
30,28/03/2015,0,0,0
30,28/03/2015,1,0,1
30,28/03/2015,2,0,1
30,28/03/2015,3,0,0
