counter_id,date,time,channel_1,channel_2
32,22/03/2015,0,0,1
32,22/03/2015,1,1,1
32,22/03/2015,2,1,0
32,22/03/2015,3,0,0
32,22/03/2015,4,0,0
32,22/03/2015,5,0,0
32,22/03/2015,6,1,3
32,22/03/2015,7,3,3
32,22/03/2015,8,5,4
32,22/03/2015,9,2,3
32,22/03/2015,10,2,1
32,22/03/2015,11,8,4
32,22/03/2015,12,7,0
32,22/03/2015,13,8,4
32,22/03/2015,14,12,2
32,22/03/2015,15,2,6
32,22/03/2015,16,11,4
32,22/03/2015,17,9,1
32,22/03/2015,18,5,4
32,22/03/2015,19,2,5
32,22/03/2015,20,1,2
32,22/03/2015,21,0,4
32,22/03/2015,22,1,1
32,22/03/2015,23,0,2
32,23/03/2015,0,0,0
32,23/03/2015,1,0,0
32,23/03/2015,2,0,0
32,23/03/2015,3,2,0
32,23/03/2015,4,0,0
32,23/03/2015,5,0,2
32,23/03/2015,6,6,3
32,23/03/2015,7,13,7
32,23/03/2015,8,12,12
32,23/03/2015,9,8,2
32,23/03/2015,10,3,4
32,23/03/2015,11,3,4
32,23/03/2015,12,3,2
32,23/03/2015,13,2,4
32,23/03/2015,14,8,5
32,23/03/2015,15,7,8
32,23/03/2015,16,10,6
32,23/03/2015,17,12,13
32,23/03/2015,18,9,4
32,23/03/2015,19,5,3
32,23/03/2015,20,6,1
32,23/03/2015,21,5,1
32,23/03/2015,22,1,0
32,23/03/2015,23,1,0
32,24/03/2015,0,0,0
32,24/03/2015,1,0,0
32,24/03/2015,2,0,0
32,24/03/2015,3,0,0
32,24/03/2015,4,0,0
32,24/03/2015,5,0,2
32,24/03/2015,6,4,6
32,24/03/2015,7,14,7
32,24/03/2015,8,19,12
32,24/03/2015,9,11,7
32,24/03/2015,10,2,3
32,24/03/2015,11,4,2
32,24/03/2015,12,4,1
32,24/03/2015,13,4,2
32,24/03/2015,14,5,6
32,24/03/2015,15,6,2
32,24/03/2015,16,8,12
32,24/03/2015,17,16,14
32,24/03/2015,18,10,6
32,24/03/2015,19,10,6
32,24/03/2015,20,1,4
32,24/03/2015,21,3,1
32,24/03/2015,22,4,0
32,24/03/2015,23,1,0
32,25/03/2015,0,0,0
32,25/03/2015,1,0,0
32,25/03/2015,2,0,0
32,25/03/2015,3,0,0
32,25/03/2015,4,0,0
32,25/03/2015,5,0,1
32,25/03/2015,6,7,6
32,25/03/2015,7,14,15
32,25/03/2015,8,17,7
32,25/03/2015,9,8,7
32,25/03/2015,10,6,5
32,25/03/2015,11,7,2
32,25/03/2015,12,3,3
32,25/03/2015,13,4,2
32,25/03/2015,14,4,2
32,25/03/2015,15,4,6
32,25/03/2015,16,5,12
32,25/03/2015,17,17,15
32,25/03/2015,18,10,7
32,25/03/2015,19,9,6
32,25/03/2015,20,3,2
32,25/03/2015,21,0,2
32,25/03/2015,22,3,1
32,25/03/2015,23,0,1
32,26/03/2015,0,0,0
32,26/03/2015,1,0,0
32,26/03/2015,2,0,1
32,26/03/2015,3,0,0
32,26/03/2015,4,0,0
32,26/03/2015,5,2,2
32,26/03/2015,6,3,4
32,26/03/2015,7,8,8
32,26/03/2015,8,9,3
32,26/03/2015,9,7,6
32,26/03/2015,10,3,4
32,26/03/2015,11,2,3
32,26/03/2015,12,4,5
32,26/03/2015,13,4,1
32,26/03/2015,14,2,1
32,26/03/2015,15,6,9
32,26/03/2015,16,5,8
32,26/03/2015,17,6,8
32,26/03/2015,18,19,5
32,26/03/2015,19,10,8
32,26/03/2015,20,3,4
32,26/03/2015,21,2,3
32,26/03/2015,22,3,2
32,26/03/2015,23,3,1
32,27/03/2015,0,0,0
32,27/03/2015,1,1,0
32,27/03/2015,2,0,0
32,27/03/2015,3,1,0
32,27/03/2015,4,0,0
32,27/03/2015,5,1,1
32,27/03/2015,6,8,5
32,27/03/2015,7,10,7
32,27/03/2015,8,13,8
32,27/03/2015,9,14,8
32,27/03/2015,10,3,3
32,27/03/2015,11,2,5
32,27/03/2015,12,5,7
32,27/03/2015,13,6,4
32,27/03/2015,14,8,6
32,27/03/2015,15,2,4
32,27/03/2015,16,6,8
32,27/03/2015,17,11,11
32,27/03/2015,18,7,5
32,27/03/2015,19,0,4
32,27/03/2015,20,4,0
32,27/03/2015,21,4,3
32,27/03/2015,22,2,0
32,27/03/2015,23,3,1
32,28/03/2015,0,0,0
32,28/03/2015,1,3,0
32,28/03/2015,2,0,0
32,28/03/2015,3,0,0
32,28/03/2015,4,1,0
32,28/03/2015,5,0,0
32,28/03/2015,6,0,2
32,28/03/2015,7,2,0
32,28/03/2015,8,5,1
32,28/03/2015,9,4,1
32,28/03/2015,10,4,2
32,28/03/2015,11,4,3
32,28/03/2015,12,1,1
32,28/03/2015,13,1,2
32,28/03/2015,14,4,3
32,28/03/2015,15,2,5
32,28/03/2015,16,2,3
32,28/03/2015,17,1,3
32,28/03/2015,18,2,0
32,28/03/2015,19,1,0
32,28/03/2015,20,0,0
32,28/03/2015,21,0,1
32,28/03/2015,22,1,1
32,28/03/2015,23,1,1
32,05/04/2015,0,5,0
32,05/04/2015,1,1,0
32,05/04/2015,2,0,0
32,05/04/2015,3,0,0
32,05/04/2015,4,0,1
32,05/04/2015,5,0,0
32,05/04/2015,6,1,0
32,05/04/2015,7,0,4
32,05/04/2015,8,4,5
32,05/04/2015,9,4,2
32,05/04/2015,10,4,7
32,05/04/2015,11,10,4
32,05/04/2015,12,1,5
32,05/04/2015,13,16,1
32,05/04/2015,14,4,4
32,05/04/2015,15,2,2
32,05/04/2015,16,5,4
32,05/04/2015,17,2,5
32,05/04/2015,18,4,2
32,05/04/2015,19,2,1
32,05/04/2015,20,0,0
32,05/04/2015,21,0,1
32,05/04/2015,22,0,1
32,05/04/2015,23,1,0
32,06/04/2015,0,1,0
32,06/04/2015,1,0,0
32,06/04/2015,2,0,0
32,06/04/2015,3,0,0
32,06/04/2015,4,0,0
32,06/04/2015,5,0,0
32,06/04/2015,6,0,2
32,06/04/2015,7,5,3
32,06/04/2015,8,6,3
32,06/04/2015,9,2,0
32,06/04/2015,10,8,1
32,06/04/2015,11,4,2
32,06/04/2015,12,8,2
32,06/04/2015,13,8,11
32,06/04/2015,14,9,3
32,06/04/2015,15,4,4
32,06/04/2015,16,9,6
32,06/04/2015,17,13,5
32,06/04/2015,18,7,7
32,06/04/2015,19,3,2
32,06/04/2015,20,3,3
