counter_id,date,time,channel_1,channel_2
33,22/03/2015,0,4,0
33,22/03/2015,1,1,0
33,22/03/2015,2,0,0
33,22/03/2015,3,0,0
33,22/03/2015,4,2,0
33,22/03/2015,5,1,0
33,22/03/2015,6,0,0
33,22/03/2015,7,4,0
33,22/03/2015,8,6,0
33,22/03/2015,9,6,0
33,22/03/2015,10,4,0
33,22/03/2015,11,4,0
33,22/03/2015,12,6,0
33,22/03/2015,13,8,0
33,22/03/2015,14,8,0
33,22/03/2015,15,4,0
33,22/03/2015,16,8,0
33,22/03/2015,17,5,0
33,22/03/2015,18,6,0
33,22/03/2015,19,1,0
33,22/03/2015,20,5,0
33,22/03/2015,21,1,0
33,22/03/2015,22,0,0
33,22/03/2015,23,2,0
33,23/03/2015,0,1,0
33,23/03/2015,1,0,0
33,23/03/2015,2,1,0
33,23/03/2015,3,0,0
33,23/03/2015,4,0,0
33,23/03/2015,5,0,0
33,23/03/2015,6,1,0
33,23/03/2015,7,11,0
33,23/03/2015,8,23,0
33,23/03/2015,9,9,0
33,23/03/2015,10,5,0
33,23/03/2015,11,6,2
33,23/03/2015,12,11,0
33,23/03/2015,13,9,3
33,23/03/2015,14,12,2
33,23/03/2015,15,4,2
33,23/03/2015,16,24,10
33,23/03/2015,17,55,14
33,23/03/2015,18,46,10
33,23/03/2015,19,12,3
33,23/03/2015,20,11,5
33,23/03/2015,21,6,5
33,23/03/2015,22,8,2
33,23/03/2015,23,0,1
33,24/03/2015,0,1,0
33,24/03/2015,1,0,0
33,24/03/2015,2,0,1
33,24/03/2015,3,0,0
33,24/03/2015,4,0,0
33,24/03/2015,5,0,1
33,24/03/2015,6,1,12
33,24/03/2015,7,9,15
33,24/03/2015,8,11,40
33,24/03/2015,9,9,25
33,24/03/2015,10,7,3
33,24/03/2015,11,9,4
33,24/03/2015,12,11,3
33,24/03/2015,13,6,6
33,24/03/2015,14,14,11
33,24/03/2015,15,10,10
33,24/03/2015,16,29,9
33,24/03/2015,17,41,11
33,24/03/2015,18,47,7
33,24/03/2015,19,20,7
33,24/03/2015,20,14,7
33,24/03/2015,21,7,3
33,24/03/2015,22,7,3
33,24/03/2015,23,5,1
33,25/03/2015,0,2,1
33,25/03/2015,1,2,0
33,25/03/2015,2,0,0
33,25/03/2015,3,0,0
33,25/03/2015,4,0,0
33,25/03/2015,5,1,5
33,25/03/2015,6,1,14
33,25/03/2015,7,9,30
33,25/03/2015,8,18,41
33,25/03/2015,9,6,23
33,25/03/2015,10,8,11
33,25/03/2015,11,5,3
33,25/03/2015,12,12,3
33,25/03/2015,13,12,11
33,25/03/2015,14,10,8
33,25/03/2015,15,13,6
33,25/03/2015,16,36,5
33,25/03/2015,17,53,13
33,25/03/2015,18,42,11
33,25/03/2015,19,15,5
33,25/03/2015,20,7,4
33,25/03/2015,21,5,4
33,25/03/2015,22,5,4
33,25/03/2015,23,3,2
33,26/03/2015,0,2,0
33,26/03/2015,1,1,0
33,26/03/2015,2,0,0
33,26/03/2015,3,0,0
33,26/03/2015,4,2,0
33,26/03/2015,5,1,3
33,26/03/2015,6,4,10
33,26/03/2015,7,10,23
33,26/03/2015,8,10,26
33,26/03/2015,9,7,15
33,26/03/2015,10,3,3
33,26/03/2015,11,4,2
33,26/03/2015,12,3,2
33,26/03/2015,13,9,8
33,26/03/2015,14,8,1
33,26/03/2015,15,9,6
33,26/03/2015,16,20,8
33,26/03/2015,17,43,6
33,26/03/2015,18,33,8
33,26/03/2015,19,18,4
33,26/03/2015,20,3,3
33,26/03/2015,21,1,7
33,26/03/2015,22,5,2
33,26/03/2015,23,1,0
33,27/03/2015,0,0,1
33,27/03/2015,1,3,1
33,27/03/2015,2,0,0
33,27/03/2015,3,0,0
33,27/03/2015,4,0,0
33,27/03/2015,5,1,5
33,27/03/2015,6,4,11
33,27/03/2015,7,11,21
33,27/03/2015,8,17,27
33,27/03/2015,9,13,16
33,27/03/2015,10,5,11
33,27/03/2015,11,6,7
33,27/03/2015,12,11,10
33,27/03/2015,13,11,8
33,27/03/2015,14,15,5
33,27/03/2015,15,7,10
33,27/03/2015,16,20,12
33,27/03/2015,17,33,8
