counter_id,date,time,channel_1,channel_2,
34,22/03/2015,0,0,0,0
34,22/03/2015,1,0,0,0
34,22/03/2015,2,0,0,0
34,22/03/2015,3,0,0,0
34,22/03/2015,4,0,0,0
34,22/03/2015,5,0,0,0
34,22/03/2015,6,0,0,0
34,22/03/2015,7,0,0,0
34,22/03/2015,8,0,0,0
34,22/03/2015,9,0,0,0
34,22/03/2015,10,0,0,0
34,22/03/2015,11,0,0,0
34,22/03/2015,12,0,0,0
34,22/03/2015,13,0,0,0
34,22/03/2015,14,0,0,0
34,22/03/2015,15,5,10,15
34,22/03/2015,16,5,12,17
34,22/03/2015,17,19,8,27
34,22/03/2015,18,14,11,25
34,22/03/2015,19,10,11,21
34,22/03/2015,20,13,3,16
34,22/03/2015,21,4,2,6
34,22/03/2015,22,8,3,11
34,22/03/2015,23,3,3,6
34,23/03/2015,0,1,1,2
34,23/03/2015,1,2,0,2
34,23/03/2015,2,1,1,2
34,23/03/2015,3,1,0,1
34,23/03/2015,4,2,2,4
34,23/03/2015,5,0,1,1
34,23/03/2015,6,6,5,11
34,23/03/2015,7,17,16,33
34,23/03/2015,8,33,57,90
34,23/03/2015,9,22,22,44
34,23/03/2015,10,15,7,22
34,23/03/2015,11,18,11,29
34,23/03/2015,12,22,12,34
34,23/03/2015,13,21,8,29
34,23/03/2015,14,11,8,19
34,23/03/2015,15,17,20,37
34,23/03/2015,16,29,22,51
34,23/03/2015,17,72,42,114
34,23/03/2015,18,33,23,56
34,23/03/2015,19,23,7,30
34,23/03/2015,20,13,12,25
34,23/03/2015,21,12,11,23
34,23/03/2015,22,6,7,13
34,23/03/2015,23,5,2,7
34,24/03/2015,0,2,1,3
34,24/03/2015,1,3,0,3
34,24/03/2015,2,2,0,2
34,24/03/2015,3,0,0,0
34,24/03/2015,4,1,0,1
34,24/03/2015,5,0,1,1
34,24/03/2015,6,6,3,9
34,24/03/2015,7,20,29,49
34,24/03/2015,8,37,36,73
34,24/03/2015,9,36,19,55
34,24/03/2015,10,14,13,27
34,24/03/2015,11,20,8,28
34,24/03/2015,12,16,9,25
34,24/03/2015,13,15,20,35
34,24/03/2015,14,16,9,25
34,24/03/2015,15,24,17,41
34,24/03/2015,16,38,26,64
34,24/03/2015,17,63,34,97
34,24/03/2015,18,43,18,61
34,24/03/2015,19,25,16,41
34,24/03/2015,20,10,12,22
34,24/03/2015,21,11,9,20
34,24/03/2015,22,11,6,17
34,24/03/2015,23,6,3,9
34,25/03/2015,0,4,1,5
34,25/03/2015,1,2,0,2
34,25/03/2015,2,1,0,1
34,25/03/2015,3,1,0,1
34,25/03/2015,4,1,0,1
34,25/03/2015,5,0,3,3
34,25/03/2015,6,2,7,9
34,25/03/2015,7,15,18,33
34,25/03/2015,8,31,48,79
34,25/03/2015,9,32,24,56
34,25/03/2015,10,11,16,27
34,25/03/2015,11,11,14,25
34,25/03/2015,12,17,19,36
34,25/03/2015,13,18,12,30
34,25/03/2015,14,18,13,31
34,25/03/2015,15,18,19,37
34,25/03/2015,16,38,27,65
34,25/03/2015,17,48,30,78
34,25/03/2015,18,42,26,68
34,25/03/2015,19,20,11,31
34,25/03/2015,20,15,25,40
34,25/03/2015,21,11,4,15
34,25/03/2015,22,10,6,16
34,25/03/2015,23,4,5,9
34,26/03/2015,0,2,3,5
34,26/03/2015,1,2,1,3
34,26/03/2015,2,1,1,2
34,26/03/2015,3,1,0,1
34,26/03/2015,4,0,0,0
34,26/03/2015,5,1,1,2
34,26/03/2015,6,7,5,12
34,26/03/2015,7,11,13,24
34,26/03/2015,8,27,31,58
34,26/03/2015,9,19,8,27
34,26/03/2015,10,13,9,22
34,26/03/2015,11,6,10,16
34,26/03/2015,12,19,8,27
34,26/03/2015,13,11,15,26
34,26/03/2015,14,9,12,21
34,26/03/2015,15,18,21,39
34,26/03/2015,16,33,22,55
34,26/03/2015,17,44,17,61
34,26/03/2015,18,36,31,67
34,26/03/2015,19,19,13,32
34,26/03/2015,20,9,7,16
34,26/03/2015,21,7,9,16
34,26/03/2015,22,9,5,14
34,26/03/2015,23,4,0,4
34,27/03/2015,0,5,3,8
34,27/03/2015,1,1,2,3
34,27/03/2015,2,1,0,1
34,27/03/2015,3,0,1,1
34,27/03/2015,4,0,0,0
34,27/03/2015,5,0,2,2
34,27/03/2015,6,9,3,12
34,27/03/2015,7,16,15,31
34,27/03/2015,8,17,38,55
34,27/03/2015,9,26,25,51
34,27/03/2015,10,17,15,32
34,27/03/2015,11,14,8,22
34,27/03/2015,12,15,15,30
34,27/03/2015,13,20,14,34
34,27/03/2015,14,11,8,19
34,27/03/2015,15,12,13,25
34,27/03/2015,16,23,24,47
34,27/03/2015,17,34,29,63
34,27/03/2015,18,27,24,51
34,27/03/2015,19,12,11,23
34,27/03/2015,20,5,3,8
34,27/03/2015,21,13,6,19
34,27/03/2015,22,11,6,17
34,27/03/2015,23,8,3,11
34,28/03/2015,0,2,3,5
34,28/03/2015,1,1,1,2
34,28/03/2015,2,0,1,1
34,28/03/2015,3,1,0,1
34,28/03/2015,4,1,0,1
34,28/03/2015,5,1,0,1
34,28/03/2015,6,2,1,3
34,28/03/2015,7,1,6,7
34,28/03/2015,8,3,8,11
34,28/03/2015,9,5,7,12
34,28/03/2015,10,8,8,16
34,28/03/2015,11,6,9,15
34,28/03/2015,12,12,12,24
34,28/03/2015,13,13,14,27
34,28/03/2015,14,4,7,11
34,28/03/2015,15,12,13,25
34,28/03/2015,16,17,7,24
34,28/03/2015,17,20,10,30
34,28/03/2015,18,10,4,14
34,28/03/2015,19,11,4,15
34,28/03/2015,20,2,3,5
34,28/03/2015,21,4,1,5
34,28/03/2015,22,3,3,6
34,28/03/2015,23,6,1,7
34,05/04/2015,0,7,1,8
34,05/04/2015,1,1,1,2
34,05/04/2015,2,4,1,5
34,05/04/2015,3,0,2,2
34,05/04/2015,4,1,3,4
34,05/04/2015,5,0,0,0
34,05/04/2015,6,4,2,6
34,05/04/2015,7,5,6,11
34,05/04/2015,8,1,3,4
34,05/04/2015,9,6,6,12
34,05/04/2015,10,9,7,16
34,05/04/2015,11,9,16,25
34,05/04/2015,12,10,5,15
34,05/04/2015,13,19,12,31
34,05/04/2015,14,11,7,18
34,05/04/2015,15,16,5,21
34,05/04/2015,16,25,19,44
34,05/04/2015,17,7,21,28
34,05/04/2015,18,3,18,21
