counter_id,date,time,channel_1,channel_2
35,22/03/2015,0,0,1
35,22/03/2015,1,0,3
35,22/03/2015,2,0,0
35,22/03/2015,3,0,0
35,22/03/2015,4,0,0
35,22/03/2015,5,0,0
35,22/03/2015,6,1,0
35,22/03/2015,7,4,5
35,22/03/2015,8,6,8
35,22/03/2015,9,4,0
35,22/03/2015,10,7,6
35,22/03/2015,11,10,5
35,22/03/2015,12,2,5
35,22/03/2015,13,5,7
35,22/03/2015,14,5,4
35,22/03/2015,15,1,1
35,22/03/2015,16,3,3
35,22/03/2015,17,8,8
35,22/03/2015,18,4,4
35,22/03/2015,19,1,1
35,22/03/2015,20,2,4
35,22/03/2015,21,1,3
35,22/03/2015,22,3,3
35,22/03/2015,23,0,0
35,23/03/2015,0,1,2
35,23/03/2015,1,0,0
35,23/03/2015,2,0,0
35,23/03/2015,3,0,1
35,23/03/2015,4,0,0
35,23/03/2015,5,1,1
35,23/03/2015,6,7,8
35,23/03/2015,7,27,17
35,23/03/2015,8,40,42
35,23/03/2015,9,9,18
35,23/03/2015,10,7,11
35,23/03/2015,11,8,5
35,23/03/2015,12,5,10
35,23/03/2015,13,5,4
35,23/03/2015,14,5,5
35,23/03/2015,15,10,7
35,23/03/2015,16,26,11
35,23/03/2015,17,24,36
35,23/03/2015,18,10,26
35,23/03/2015,19,3,6
35,23/03/2015,20,5,6
35,23/03/2015,21,10,3
35,23/03/2015,22,1,7
35,23/03/2015,23,1,2
35,24/03/2015,0,1,0
35,24/03/2015,1,0,0
35,24/03/2015,2,0,0
35,24/03/2015,3,0,0
35,24/03/2015,4,0,0
35,24/03/2015,5,1,0
35,24/03/2015,6,11,9
35,24/03/2015,7,26,37
35,24/03/2015,8,54,27
35,24/03/2015,9,13,17
35,24/03/2015,10,9,7
35,24/03/2015,11,5,1
35,24/03/2015,12,7,9
35,24/03/2015,13,10,19
35,24/03/2015,14,7,9
35,24/03/2015,15,13,12
35,24/03/2015,16,35,14
35,24/03/2015,17,26,42
35,24/03/2015,18,14,24
35,24/03/2015,19,11,11
35,24/03/2015,20,5,7
35,24/03/2015,21,5,9
35,24/03/2015,22,3,5
35,24/03/2015,23,1,2
35,25/03/2015,0,0,4
35,25/03/2015,1,1,0
35,25/03/2015,2,0,0
35,25/03/2015,3,0,0
35,25/03/2015,4,1,0
35,25/03/2015,5,2,1
35,25/03/2015,6,7,6
35,25/03/2015,7,25,20
35,25/03/2015,8,45,37
35,25/03/2015,9,16,15
35,25/03/2015,10,5,8
35,25/03/2015,11,6,6
35,25/03/2015,12,11,7
35,25/03/2015,13,4,9
35,25/03/2015,14,4,5
35,25/03/2015,15,18,7
35,25/03/2015,16,23,14
35,25/03/2015,17,21,39
35,25/03/2015,18,24,20
35,25/03/2015,19,8,17
35,25/03/2015,20,4,7
35,25/03/2015,21,6,4
35,25/03/2015,22,4,3
35,25/03/2015,23,0,5
35,26/03/2015,0,1,0
35,26/03/2015,1,0,1
35,26/03/2015,2,0,0
35,26/03/2015,3,1,0
35,26/03/2015,4,0,0
35,26/03/2015,5,1,0
35,26/03/2015,6,3,2
35,26/03/2015,7,15,10
35,26/03/2015,8,36,28
35,26/03/2015,9,13,13
35,26/03/2015,10,4,8
35,26/03/2015,11,7,4
35,26/03/2015,12,4,6
35,26/03/2015,13,5,3
35,26/03/2015,14,7,7
35,26/03/2015,15,12,7
35,26/03/2015,16,8,10
35,26/03/2015,17,17,25
35,26/03/2015,18,19,18
35,26/03/2015,19,7,9
35,26/03/2015,20,4,2
35,26/03/2015,21,8,8
35,26/03/2015,22,1,6
35,26/03/2015,23,0,4
35,27/03/2015,0,0,2
35,27/03/2015,1,2,3
35,27/03/2015,2,0,1
35,27/03/2015,3,0,0
35,27/03/2015,4,0,1
35,27/03/2015,5,2,0
35,27/03/2015,6,6,7
35,27/03/2015,7,24,19
35,27/03/2015,8,37,28
35,27/03/2015,9,17,14
35,27/03/2015,10,7,7
35,27/03/2015,11,9,8
35,27/03/2015,12,8,7
35,27/03/2015,13,12,5
35,27/03/2015,14,7,14
35,27/03/2015,15,9,6
35,27/03/2015,16,24,17
35,27/03/2015,17,17,21
35,27/03/2015,18,13,14
35,27/03/2015,19,6,8
35,27/03/2015,20,4,5
35,27/03/2015,21,3,6
35,27/03/2015,22,2,7
35,27/03/2015,23,0,2
35,28/03/2015,0,1,1
35,28/03/2015,1,0,0
35,28/03/2015,2,0,0
35,28/03/2015,3,0,0
35,28/03/2015,4,0,0
35,28/03/2015,5,1,1
35,28/03/2015,6,0,1
35,28/03/2015,7,8,4
35,28/03/2015,8,4,0
35,28/03/2015,9,5,6
35,28/03/2015,10,0,2
35,28/03/2015,11,5,2
35,28/03/2015,12,7,2
35,28/03/2015,13,4,2
35,28/03/2015,14,1,3
35,28/03/2015,15,6,4
35,28/03/2015,16,4,4
35,28/03/2015,17,6,3
35,28/03/2015,18,6,4
35,28/03/2015,19,4,1
35,28/03/2015,20,3,1
35,28/03/2015,21,0,1
35,28/03/2015,22,4,1
35,28/03/2015,23,1,0
35,05/04/2015,0,1,1
35,05/04/2015,1,0,0
35,05/04/2015,2,0,1
35,05/04/2015,3,0,1
35,05/04/2015,4,0,0
35,05/04/2015,5,1,0
35,05/04/2015,6,1,1
35,05/04/2015,7,2,1
35,05/04/2015,8,2,5
35,05/04/2015,9,8,3
35,05/04/2015,10,6,8
35,05/04/2015,11,3,9
35,05/04/2015,12,5,5
35,05/04/2015,13,6,7
35,05/04/2015,14,0,2
35,05/04/2015,15,5,5
35,05/04/2015,16,9,5
35,05/04/2015,17,11,4
35,05/04/2015,18,5,5
35,05/04/2015,19,2,2
35,05/04/2015,20,2,1
35,05/04/2015,21,2,0
35,05/04/2015,22,2,0
35,05/04/2015,23,0,2
35,06/04/2015,0,1,1
35,06/04/2015,1,0,1
35,06/04/2015,2,0,0
35,06/04/2015,3,0,0
35,06/04/2015,4,0,0
35,06/04/2015,5,0,0
35,06/04/2015,6,2,4
35,06/04/2015,7,7,10
35,06/04/2015,8,11,19
35,06/04/2015,9,10,6
35,06/04/2015,10,7,4
35,06/04/2015,11,3,2
35,06/04/2015,12,7,4
35,06/04/2015,13,3,7
35,06/04/2015,14,9,2
35,06/04/2015,15,8,5
35,06/04/2015,16,13,12
35,06/04/2015,17,10,16
35,06/04/2015,18,7,14
35,06/04/2015,19,10,9
35,06/04/2015,20,4,2
35,06/04/2015,21,5,3
35,06/04/2015,22,3,6
35,06/04/2015,23,1,2
35,07/04/2015,0,0,1
35,07/04/2015,1,0,0
35,07/04/2015,2,0,0
35,07/04/2015,3,0,0
35,07/04/2015,4,2,0
35,07/04/2015,5,3,0
35,07/04/2015,6,3,8
35,07/04/2015,7,19,19
35,07/04/2015,8,29,27
35,07/04/2015,9,19,13
35,07/04/2015,10,6,9
35,07/04/2015,11,4,8
35,07/04/2015,12,10,13
35,07/04/2015,13,5,13
35,07/04/2015,14,8,6
35,07/04/2015,15,11,5
35,07/04/2015,16,25,12
35,07/04/2015,17,20,25
35,07/04/2015,18,17,36
35,07/04/2015,19,15,9
35,07/04/2015,20,6,4
35,07/04/2015,21,2,4
35,07/04/2015,22,2,8
35,07/04/2015,23,1,3
35,08/04/2015,0,1,3
35,08/04/2015,1,1,0
35,08/04/2015,2,0,0
35,08/04/2015,3,0,0
35,08/04/2015,4,0,0
35,08/04/2015,5,1,0
35,08/04/2015,6,5,13
35,08/04/2015,7,20,15
35,08/04/2015,8,37,37
35,08/04/2015,9,14,14
35,08/04/2015,10,9,13
35,08/04/2015,11,6,6
35,08/04/2015,12,9,9
35,08/04/2015,13,7,4
35,08/04/2015,14,9,7
35,08/04/2015,15,17,5
35,08/04/2015,16,19,12
35,08/04/2015,17,27,15
35,08/04/2015,18,13,27
35,08/04/2015,19,8,20
35,08/04/2015,20,6,10
35,08/04/2015,21,8,5
35,08/04/2015,22,3,4
35,08/04/2015,23,0,1
35,09/04/2015,0,1,1
35,09/04/2015,1,1,0
35,09/04/2015,2,0,0
35,09/04/2015,3,0,0
35,09/04/2015,4,2,0
35,09/04/2015,5,2,0
35,09/04/2015,6,7,7
35,09/04/2015,7,23,16
35,09/04/2015,8,35,31
35,09/04/2015,9,18,24
35,09/04/2015,10,8,7
35,09/04/2015,11,11,5
35,09/04/2015,12,8,6
35,09/04/2015,13,5,7
35,09/04/2015,14,8,5
35,09/04/2015,15,15,5
35,09/04/2015,16,16,17
35,09/04/2015,17,28,21
35,09/04/2015,18,21,28
35,09/04/2015,19,11,14
35,09/04/2015,20,7,15
35,09/04/2015,21,7,3
35,09/04/2015,22,7,8
35,09/04/2015,23,1,1
35,10/04/2015,0,0,0
35,10/04/2015,1,1,0
35,10/04/2015,2,0,0
35,10/04/2015,3,0,0
35,10/04/2015,4,0,0
35,10/04/2015,5,4,0
35,10/04/2015,6,6,8
35,10/04/2015,7,24,23
35,10/04/2015,8,39,25
35,10/04/2015,9,13,15
35,10/04/2015,10,6,4
35,10/04/2015,11,6,5
35,10/04/2015,12,16,11
35,10/04/2015,13,12,9
35,10/04/2015,14,15,8
35,10/04/2015,15,13,19
35,10/04/2015,16,23,15
35,10/04/2015,17,33,21
35,10/04/2015,18,10,14
35,10/04/2015,19,5,10
35,10/04/2015,20,4,6
35,10/04/2015,21,2,7
35,10/04/2015,22,0,7
35,10/04/2015,23,1,1
35,11/04/2015,0,1,1
35,11/04/2015,1,1,3
35,11/04/2015,2,0,0
35,11/04/2015,3,0,0
35,11/04/2015,4,0,0
35,11/04/2015,5,0,0
35,11/04/2015,6,2,6
35,11/04/2015,7,2,4
35,11/04/2015,8,7,6
35,11/04/2015,9,9,7
35,11/04/2015,10,6,8
35,11/04/2015,11,7,3
35,11/04/2015,12,2,5
35,11/04/2015,13,3,5
35,11/04/2015,14,5,5
35,11/04/2015,15,3,4
35,11/04/2015,16,3,2
35,11/04/2015,17,3,4
35,11/04/2015,18,6,4
35,11/04/2015,19,5,7
35,11/04/2015,20,2,3
35,11/04/2015,21,1,2
35,11/04/2015,22,2,2
35,11/04/2015,23,3,6
35,12/04/2015,0,0,1
35,12/04/2015,1,0,1
35,12/04/2015,2,1,1
35,12/04/2015,3,0,0
35,12/04/2015,4,0,0
35,12/04/2015,5,2,0
35,12/04/2015,6,0,1
35,12/04/2015,7,2,2
35,12/04/2015,8,4,6
35,12/04/2015,9,6,1
35,12/04/2015,10,1,1
35,12/04/2015,11,1,4
35,12/04/2015,12,2,5
35,12/04/2015,13,4,3
35,12/04/2015,14,4,2
35,12/04/2015,15,4,4
35,12/04/2015,16,7,4
35,12/04/2015,17,7,7
35,12/04/2015,18,2,7
35,12/04/2015,19,3,3
35,12/04/2015,20,5,1
35,12/04/2015,21,3,2
35,12/04/2015,22,1,3
35,12/04/2015,23,1,1
35,13/04/2015,0,0,1
35,13/04/2015,1,0,0
35,13/04/2015,2,0,0
35,13/04/2015,3,0,0
35,13/04/2015,4,0,0
35,13/04/2015,5,1,1
35,13/04/2015,6,7,9
35,13/04/2015,7,19,27
35,13/04/2015,8,41,34
35,13/04/2015,9,13,18
35,13/04/2015,10,11,9
35,13/04/2015,11,7,7
35,13/04/2015,12,9,9
35,13/04/2015,13,12,15
35,13/04/2015,14,12,3
35,13/04/2015,15,8,10
35,13/04/2015,16,18,17
35,13/04/2015,17,22,29
35,13/04/2015,18,13,23
35,13/04/2015,19,6,9
35,13/04/2015,20,7,6
35,13/04/2015,21,4,5
35,13/04/2015,22,1,4
35,13/04/2015,23,4,2
35,14/04/2015,0,0,3
35,14/04/2015,1,1,0
35,14/04/2015,2,0,0
35,14/04/2015,3,0,0
35,14/04/2015,4,0,0
35,14/04/2015,5,1,0
35,14/04/2015,6,6,3
35,14/04/2015,7,27,22
35,14/04/2015,8,36,20
35,14/04/2015,9,18,15
35,14/04/2015,10,12,7
35,14/04/2015,11,6,6
35,14/04/2015,12,6,8
35,14/04/2015,13,6,4
35,14/04/2015,14,6,7
35,14/04/2015,15,7,10
35,14/04/2015,16,21,9
35,14/04/2015,17,23,21
35,14/04/2015,18,12,28
35,14/04/2015,19,7,13
35,14/04/2015,20,8,4
35,14/04/2015,21,4,4
35,14/04/2015,22,4,4
35,14/04/2015,23,4,1
35,15/04/2015,0,1,1
35,15/04/2015,1,0,0
35,15/04/2015,2,0,0
35,15/04/2015,3,0,0
35,15/04/2015,4,1,0
35,15/04/2015,5,1,0
35,15/04/2015,6,5,4
35,15/04/2015,7,13,22
35,15/04/2015,8,30,31
35,15/04/2015,9,10,13
35,15/04/2015,10,5,11
35,15/04/2015,11,12,2
35,15/04/2015,12,4,7
35,15/04/2015,13,5,8
35,15/04/2015,14,10,8
35,15/04/2015,15,11,12
35,15/04/2015,16,17,12
35,15/04/2015,17,18,31
35,15/04/2015,18,19,15
35,15/04/2015,19,11,12
35,15/04/2015,20,5,6
35,15/04/2015,21,4,5
35,15/04/2015,22,3,2
35,15/04/2015,23,1,4
35,16/04/2015,0,1,0
35,16/04/2015,1,1,0
35,16/04/2015,2,0,0
35,16/04/2015,3,0,0
35,16/04/2015,4,0,0
35,16/04/2015,5,0,1
35,16/04/2015,6,3,10
35,16/04/2015,7,27,24
35,16/04/2015,8,45,26
35,16/04/2015,9,14,26
35,16/04/2015,10,6,7
35,16/04/2015,11,15,3
35,16/04/2015,12,8,3
35,16/04/2015,13,7,4
35,16/04/2015,14,4,4
35,16/04/2015,15,11,6
35,16/04/2015,16,20,14
35,16/04/2015,17,26,40
35,16/04/2015,18,12,25
35,16/04/2015,19,3,11
35,16/04/2015,20,6,16
35,16/04/2015,21,7,3
35,16/04/2015,22,9,3
35,16/04/2015,23,2,4
35,17/04/2015,0,2,1
35,17/04/2015,1,1,0
35,17/04/2015,2,0,0
35,17/04/2015,3,0,0
35,17/04/2015,4,0,0
35,17/04/2015,5,1,3
35,17/04/2015,6,5,8
35,17/04/2015,7,11,17
35,17/04/2015,8,34,27
35,17/04/2015,9,15,18
35,17/04/2015,10,7,6
35,17/04/2015,11,5,6
35,17/04/2015,12,6,9
35,17/04/2015,13,3,8
35,17/04/2015,14,11,4
35,17/04/2015,15,8,5
35,17/04/2015,16,19,27
35,17/04/2015,17,22,25
35,17/04/2015,18,13,21
35,17/04/2015,19,8,8
35,17/04/2015,20,5,3
35,17/04/2015,21,3,1
35,17/04/2015,22,3,4
35,17/04/2015,23,0,5
35,18/04/2015,0,0,3
35,18/04/2015,1,0,3
35,18/04/2015,2,0,0
35,18/04/2015,3,0,2
35,18/04/2015,4,0,1
35,18/04/2015,5,1,0
35,18/04/2015,6,3,4
35,18/04/2015,7,3,6
35,18/04/2015,8,4,3
35,18/04/2015,9,10,8
35,18/04/2015,10,7,5
35,18/04/2015,11,8,8
35,18/04/2015,12,5,6
35,18/04/2015,13,4,8
35,18/04/2015,14,4,5
35,18/04/2015,15,5,4
35,18/04/2015,16,4,7
35,18/04/2015,17,4,1
35,18/04/2015,18,7,11
35,18/04/2015,19,5,5
35,18/04/2015,20,3,1
35,18/04/2015,21,1,2
35,18/04/2015,22,0,3
35,18/04/2015,23,1,4
35,19/04/2015,0,2,2
35,19/04/2015,1,0,0
35,19/04/2015,2,0,1
35,19/04/2015,3,0,1
35,19/04/2015,4,0,1
35,19/04/2015,5,0,1
35,19/04/2015,6,4,4
35,19/04/2015,7,3,2
35,19/04/2015,8,9,7
35,19/04/2015,9,6,4
35,19/04/2015,10,11,8
35,19/04/2015,11,6,7
35,19/04/2015,12,5,8
35,19/04/2015,13,2,11
35,19/04/2015,14,7,5
35,19/04/2015,15,10,3
35,19/04/2015,16,2,16
35,19/04/2015,17,6,13
35,19/04/2015,18,3,5
35,19/04/2015,19,5,4
35,19/04/2015,20,3,1
35,19/04/2015,21,4,2
35,19/04/2015,22,2,2
35,19/04/2015,23,0,4
35,20/04/2015,0,0,0
35,20/04/2015,1,0,1
35,20/04/2015,2,0,0
35,20/04/2015,3,0,0
35,20/04/2015,4,0,0
35,20/04/2015,5,3,0
35,20/04/2015,6,5,10
