counter_id,date,time,channel_1,channel_2
36,22/03/2015,0,1,2
36,22/03/2015,1,0,0
36,22/03/2015,2,0,0
36,22/03/2015,3,0,0
36,22/03/2015,4,0,0
36,22/03/2015,5,1,0
36,22/03/2015,6,0,0
36,22/03/2015,7,2,0
36,22/03/2015,8,3,4
36,22/03/2015,9,3,3
36,22/03/2015,10,2,4
36,22/03/2015,11,3,0
36,22/03/2015,12,4,3
36,22/03/2015,13,6,2
36,22/03/2015,14,4,1
36,22/03/2015,15,4,5
36,22/03/2015,16,8,5
36,22/03/2015,17,6,8
36,22/03/2015,18,4,1
36,22/03/2015,19,2,1
36,22/03/2015,20,0,1
36,22/03/2015,21,2,0
36,22/03/2015,22,1,1
36,22/03/2015,23,0,0
36,23/03/2015,0,0,0
36,23/03/2015,1,0,0
36,23/03/2015,2,0,0
36,23/03/2015,3,0,0
36,23/03/2015,4,0,0
36,23/03/2015,5,1,0
36,23/03/2015,6,3,0
36,23/03/2015,7,3,3
36,23/03/2015,8,11,5
36,23/03/2015,9,5,0
36,23/03/2015,10,2,1
36,23/03/2015,11,2,4
36,23/03/2015,12,5,2
36,23/03/2015,13,4,3
36,23/03/2015,14,3,1
36,23/03/2015,15,4,6
36,23/03/2015,16,6,6
36,23/03/2015,17,13,11
36,23/03/2015,18,4,6
36,23/03/2015,19,2,4
36,23/03/2015,20,7,2
36,23/03/2015,21,3,3
36,23/03/2015,22,0,0
36,23/03/2015,23,0,2
36,24/03/2015,0,0,0
36,24/03/2015,1,0,0
36,24/03/2015,2,0,0
36,24/03/2015,3,0,0
36,24/03/2015,4,0,0
36,24/03/2015,5,0,0
36,24/03/2015,6,0,2
36,24/03/2015,7,4,1
36,24/03/2015,8,13,4
36,24/03/2015,9,6,5
36,24/03/2015,10,2,1
36,24/03/2015,11,2,2
36,24/03/2015,12,4,4
36,24/03/2015,13,7,4
36,24/03/2015,14,6,4
36,24/03/2015,15,4,5
36,24/03/2015,16,5,2
36,24/03/2015,17,10,9
36,24/03/2015,18,5,9
36,24/03/2015,19,8,9
36,24/03/2015,20,3,3
36,24/03/2015,21,5,4
36,24/03/2015,22,0,1
36,24/03/2015,23,0,0
36,25/03/2015,0,0,0
36,25/03/2015,1,0,0
36,25/03/2015,2,0,0
36,25/03/2015,3,1,0
36,25/03/2015,4,0,0
36,25/03/2015,5,1,0
36,25/03/2015,6,3,0
36,25/03/2015,7,3,3
36,25/03/2015,8,10,6
36,25/03/2015,9,8,5
36,25/03/2015,10,4,4
36,25/03/2015,11,3,3
36,25/03/2015,12,5,8
36,25/03/2015,13,6,6
36,25/03/2015,14,7,4
36,25/03/2015,15,7,5
36,25/03/2015,16,6,6
36,25/03/2015,17,10,13
36,25/03/2015,18,10,6
36,25/03/2015,19,4,2
36,25/03/2015,20,4,0
36,25/03/2015,21,2,2
36,25/03/2015,22,0,3
36,25/03/2015,23,0,0
36,26/03/2015,0,0,0
36,26/03/2015,1,0,0
36,26/03/2015,2,0,0
36,26/03/2015,3,0,0
36,26/03/2015,4,0,0
36,26/03/2015,5,0,0
36,26/03/2015,6,1,3
36,26/03/2015,7,1,5
36,26/03/2015,8,13,2
36,26/03/2015,9,5,2
36,26/03/2015,10,3,0
36,26/03/2015,11,1,2
36,26/03/2015,12,2,3
36,26/03/2015,13,1,3
36,26/03/2015,14,5,2
36,26/03/2015,15,6,2
36,26/03/2015,16,3,3
36,26/03/2015,17,11,12
36,26/03/2015,18,4,6
36,26/03/2015,19,5,0
36,26/03/2015,20,0,2
36,26/03/2015,21,4,2
36,26/03/2015,22,4,1
36,26/03/2015,23,0,1
36,27/03/2015,0,0,1
36,27/03/2015,1,0,0
36,27/03/2015,2,0,0
36,27/03/2015,3,0,0
36,27/03/2015,4,0,0
36,27/03/2015,5,1,0
36,27/03/2015,6,2,1
36,27/03/2015,7,1,3
36,27/03/2015,8,13,5
36,27/03/2015,9,8,6
36,27/03/2015,10,5,7
36,27/03/2015,11,5,2
36,27/03/2015,12,1,3
36,27/03/2015,13,6,4
36,27/03/2015,14,7,6
36,27/03/2015,15,4,3
36,27/03/2015,16,2,3
36,27/03/2015,17,9,6
36,27/03/2015,18,9,5
36,27/03/2015,19,3,4
36,27/03/2015,20,1,1
36,27/03/2015,21,1,0
36,27/03/2015,22,1,3
36,27/03/2015,23,0,2
36,28/03/2015,0,0,1
36,28/03/2015,1,1,0
36,28/03/2015,2,0,0
36,28/03/2015,3,0,0
36,28/03/2015,4,0,0
36,28/03/2015,5,1,0
36,28/03/2015,6,0,2
36,28/03/2015,7,1,1
36,28/03/2015,8,1,3
36,28/03/2015,9,3,12
36,28/03/2015,10,5,5
36,28/03/2015,11,7,7
36,28/03/2015,12,3,2
36,28/03/2015,13,4,2
36,28/03/2015,14,3,2
36,28/03/2015,15,1,2
36,28/03/2015,16,3,1
36,28/03/2015,17,2,2
36,28/03/2015,18,1,3
36,28/03/2015,19,1,3
36,28/03/2015,20,0,1
36,28/03/2015,21,0,2
36,28/03/2015,22,1,1
36,28/03/2015,23,0,0
36,05/04/2015,0,0,0
36,05/04/2015,1,0,0
36,05/04/2015,2,0,0
36,05/04/2015,3,0,0
36,05/04/2015,4,0,0
36,05/04/2015,5,0,0
36,05/04/2015,6,2,0
36,05/04/2015,7,2,2
36,05/04/2015,8,1,2
36,05/04/2015,9,2,3
36,05/04/2015,10,2,4
36,05/04/2015,11,7,4
36,05/04/2015,12,6,7
36,05/04/2015,13,3,4
36,05/04/2015,14,6,2
36,05/04/2015,15,7,10
36,05/04/2015,16,2,3
36,05/04/2015,17,4,2
36,05/04/2015,18,3,4
36,05/04/2015,19,6,2
36,05/04/2015,20,1,1
36,05/04/2015,21,2,1
36,05/04/2015,22,1,1
36,05/04/2015,23,0,1
36,06/04/2015,0,0,0
36,06/04/2015,1,0,0
36,06/04/2015,2,0,0
36,06/04/2015,3,0,0
36,06/04/2015,4,0,0
36,06/04/2015,5,0,0
36,06/04/2015,6,1,2
36,06/04/2015,7,3,2
36,06/04/2015,8,6,2
36,06/04/2015,9,2,6
36,06/04/2015,10,4,1
36,06/04/2015,11,4,4
36,06/04/2015,12,4,11
36,06/04/2015,13,1,7
36,06/04/2015,14,4,1
36,06/04/2015,15,6,6
36,06/04/2015,16,7,7
36,06/04/2015,17,10,3
36,06/04/2015,18,6,8
36,06/04/2015,19,4,4
36,06/04/2015,20,0,1
36,06/04/2015,21,1,1
36,06/04/2015,22,1,1
36,06/04/2015,23,2,2
36,07/04/2015,0,0,0
36,07/04/2015,1,0,0
36,07/04/2015,2,0,0
36,07/04/2015,3,0,0
36,07/04/2015,4,0,0
36,07/04/2015,5,0,0
36,07/04/2015,6,1,3
36,07/04/2015,7,1,7
36,07/04/2015,8,12,8
36,07/04/2015,9,7,4
36,07/04/2015,10,10,2
36,07/04/2015,11,4,2
36,07/04/2015,12,4,3
36,07/04/2015,13,3,1
36,07/04/2015,14,1,3
36,07/04/2015,15,4,1
36,07/04/2015,16,5,8
36,07/04/2015,17,9,11
36,07/04/2015,18,10,12
36,07/04/2015,19,9,9
36,07/04/2015,20,6,3
36,07/04/2015,21,0,1
36,07/04/2015,22,0,2
36,07/04/2015,23,0,0
36,08/04/2015,0,0,0
36,08/04/2015,1,0,0
36,08/04/2015,2,0,0
36,08/04/2015,3,0,0
36,08/04/2015,4,0,0
36,08/04/2015,5,1,0
36,08/04/2015,6,2,2
36,08/04/2015,7,7,6
36,08/04/2015,8,13,14
36,08/04/2015,9,10,5
36,08/04/2015,10,6,3
36,08/04/2015,11,5,4
36,08/04/2015,12,5,0
36,08/04/2015,13,7,4
36,08/04/2015,14,2,4
36,08/04/2015,15,5,3
36,08/04/2015,16,10,9
36,08/04/2015,17,9,8
36,08/04/2015,18,16,8
36,08/04/2015,19,10,6
36,08/04/2015,20,2,6
36,08/04/2015,21,4,2
36,08/04/2015,22,1,1
36,08/04/2015,23,0,0
36,09/04/2015,0,0,2
36,09/04/2015,1,0,0
36,09/04/2015,2,0,0
36,09/04/2015,3,0,0
36,09/04/2015,4,0,0
36,09/04/2015,5,0,0
36,09/04/2015,6,0,1
36,09/04/2015,7,7,6
36,09/04/2015,8,6,8
36,09/04/2015,9,8,3
36,09/04/2015,10,2,1
36,09/04/2015,11,5,0
36,09/04/2015,12,4,4
36,09/04/2015,13,9,7
36,09/04/2015,14,7,3
36,09/04/2015,15,4,6
36,09/04/2015,16,7,4
36,09/04/2015,17,17,15
36,09/04/2015,18,11,6
36,09/04/2015,19,10,5
36,09/04/2015,20,4,5
36,09/04/2015,21,0,2
36,09/04/2015,22,2,0
36,09/04/2015,23,1,1
36,10/04/2015,0,3,1
36,10/04/2015,1,1,0
36,10/04/2015,2,0,0
36,10/04/2015,3,0,0
36,10/04/2015,4,0,0
36,10/04/2015,5,2,0
36,10/04/2015,6,0,1
36,10/04/2015,7,6,6
36,10/04/2015,8,10,2
36,10/04/2015,9,6,4
36,10/04/2015,10,6,2
36,10/04/2015,11,7,3
36,10/04/2015,12,3,5
36,10/04/2015,13,8,4
36,10/04/2015,14,4,4
36,10/04/2015,15,5,2
36,10/04/2015,16,10,3
36,10/04/2015,17,9,11
36,10/04/2015,18,8,4
36,10/04/2015,19,0,6
36,10/04/2015,20,7,1
36,10/04/2015,21,3,0
36,10/04/2015,22,1,1
36,10/04/2015,23,1,0
36,11/04/2015,0,2,0
36,11/04/2015,1,0,1
36,11/04/2015,2,0,0
36,11/04/2015,3,0,0
36,11/04/2015,4,0,0
36,11/04/2015,5,0,0
36,11/04/2015,6,1,2
36,11/04/2015,7,1,2
36,11/04/2015,8,4,1
36,11/04/2015,9,5,23
36,11/04/2015,10,6,2
36,11/04/2015,11,3,5
36,11/04/2015,12,13,1
36,11/04/2015,13,1,4
36,11/04/2015,14,2,3
36,11/04/2015,15,4,4
36,11/04/2015,16,6,0
36,11/04/2015,17,6,3
36,11/04/2015,18,2,0
36,11/04/2015,19,1,3
36,11/04/2015,20,0,1
36,11/04/2015,21,1,0
36,11/04/2015,22,1,3
36,11/04/2015,23,1,0
36,12/04/2015,0,0,0
36,12/04/2015,1,1,2
36,12/04/2015,2,0,0
36,12/04/2015,3,0,0
36,12/04/2015,4,0,0
36,12/04/2015,5,0,0
36,12/04/2015,6,0,1
36,12/04/2015,7,1,0
36,12/04/2015,8,1,2
36,12/04/2015,9,0,0
36,12/04/2015,10,1,2
36,12/04/2015,11,1,4
36,12/04/2015,12,2,3
36,12/04/2015,13,2,3
36,12/04/2015,14,3,3
36,12/04/2015,15,6,2
36,12/04/2015,16,3,3
36,12/04/2015,17,6,2
36,12/04/2015,18,3,1
36,12/04/2015,19,4,2
36,12/04/2015,20,1,1
36,12/04/2015,21,2,2
36,12/04/2015,22,1,1
36,12/04/2015,23,1,0
36,13/04/2015,0,1,0
36,13/04/2015,1,0,0
36,13/04/2015,2,0,0
36,13/04/2015,3,0,0
36,13/04/2015,4,0,0
36,13/04/2015,5,0,0
36,13/04/2015,6,0,0
36,13/04/2015,7,7,6
36,13/04/2015,8,11,3
36,13/04/2015,9,9,4
36,13/04/2015,10,1,2
36,13/04/2015,11,7,3
36,13/04/2015,12,4,3
36,13/04/2015,13,4,2
36,13/04/2015,14,1,3
36,13/04/2015,15,6,3
36,13/04/2015,16,8,10
36,13/04/2015,17,8,11
36,13/04/2015,18,4,6
36,13/04/2015,19,1,0
36,13/04/2015,20,4,2
36,13/04/2015,21,1,4
36,13/04/2015,22,0,1
36,13/04/2015,23,1,1
36,14/04/2015,0,0,1
36,14/04/2015,1,0,0
36,14/04/2015,2,0,0
36,14/04/2015,3,0,0
36,14/04/2015,4,0,0
36,14/04/2015,5,0,0
36,14/04/2015,6,0,5
36,14/04/2015,7,4,4
36,14/04/2015,8,13,3
36,14/04/2015,9,6,5
36,14/04/2015,10,3,3
36,14/04/2015,11,2,2
36,14/04/2015,12,6,1
36,14/04/2015,13,3,1
36,14/04/2015,14,0,1
36,14/04/2015,15,7,3
36,14/04/2015,16,6,8
36,14/04/2015,17,7,6
36,14/04/2015,18,11,3
36,14/04/2015,19,7,3
36,14/04/2015,20,2,1
36,14/04/2015,21,2,5
36,14/04/2015,22,1,1
36,14/04/2015,23,0,0
36,15/04/2015,0,0,0
36,15/04/2015,1,0,1
36,15/04/2015,2,0,0
36,15/04/2015,3,0,0
36,15/04/2015,4,0,0
36,15/04/2015,5,0,0
36,15/04/2015,6,0,2
36,15/04/2015,7,5,8
36,15/04/2015,8,8,3
36,15/04/2015,9,10,2
36,15/04/2015,10,7,5
36,15/04/2015,11,1,1
36,15/04/2015,12,5,4
36,15/04/2015,13,6,4
36,15/04/2015,14,1,8
36,15/04/2015,15,6,5
36,15/04/2015,16,7,4
36,15/04/2015,17,7,8
36,15/04/2015,18,7,7
36,15/04/2015,19,4,8
36,15/04/2015,20,2,0
36,15/04/2015,21,5,0
36,15/04/2015,22,2,5
36,15/04/2015,23,0,0
36,16/04/2015,0,0,1
36,16/04/2015,1,0,0
36,16/04/2015,2,0,0
36,16/04/2015,3,0,0
36,16/04/2015,4,1,1
36,16/04/2015,5,0,0
36,16/04/2015,6,1,2
36,16/04/2015,7,2,5
36,16/04/2015,8,7,4
36,16/04/2015,9,9,4
36,16/04/2015,10,2,5
36,16/04/2015,11,6,3
36,16/04/2015,12,5,7
36,16/04/2015,13,3,5
36,16/04/2015,14,7,5
36,16/04/2015,15,5,4
36,16/04/2015,16,13,4
36,16/04/2015,17,11,17
36,16/04/2015,18,13,16
36,16/04/2015,19,9,10
36,16/04/2015,20,2,0
36,16/04/2015,21,2,1
36,16/04/2015,22,4,1
36,16/04/2015,23,2,0
36,17/04/2015,0,0,0
36,17/04/2015,1,1,0
36,17/04/2015,2,0,0
36,17/04/2015,3,0,0
36,17/04/2015,4,0,0
36,17/04/2015,5,0,0
36,17/04/2015,6,0,3
36,17/04/2015,7,5,4
36,17/04/2015,8,6,6
36,17/04/2015,9,8,5
36,17/04/2015,10,5,4
36,17/04/2015,11,4,2
36,17/04/2015,12,5,4
36,17/04/2015,13,4,3
36,17/04/2015,14,4,5
36,17/04/2015,15,6,3
36,17/04/2015,16,8,8
36,17/04/2015,17,16,6
36,17/04/2015,18,13,6
36,17/04/2015,19,6,1
36,17/04/2015,20,3,0
36,17/04/2015,21,0,4
36,17/04/2015,22,0,2
36,17/04/2015,23,0,0
36,18/04/2015,0,0,0
36,18/04/2015,1,0,0
36,18/04/2015,2,0,0
36,18/04/2015,3,0,0
36,18/04/2015,4,1,0
36,18/04/2015,5,0,0
36,18/04/2015,6,0,1
36,18/04/2015,7,3,2
36,18/04/2015,8,3,2
36,18/04/2015,9,8,13
36,18/04/2015,10,9,0
36,18/04/2015,11,4,11
36,18/04/2015,12,6,4
36,18/04/2015,13,8,2
36,18/04/2015,14,4,4
36,18/04/2015,15,9,4
36,18/04/2015,16,7,8
36,18/04/2015,17,7,3
36,18/04/2015,18,3,2
36,18/04/2015,19,5,1
36,18/04/2015,20,0,1
36,18/04/2015,21,0,0
36,18/04/2015,22,0,3
36,18/04/2015,23,0,1
36,19/04/2015,0,0,1
36,19/04/2015,1,0,0
36,19/04/2015,2,0,0
36,19/04/2015,3,0,0
36,19/04/2015,4,0,0
36,19/04/2015,5,0,0
36,19/04/2015,6,0,0
36,19/04/2015,7,0,0
36,19/04/2015,8,3,2
36,19/04/2015,9,0,1
36,19/04/2015,10,4,3
36,19/04/2015,11,3,2
36,19/04/2015,12,8,0
36,19/04/2015,13,1,2
36,19/04/2015,14,4,1
36,19/04/2015,15,2,3
36,19/04/2015,16,3,5
36,19/04/2015,17,4,3
36,19/04/2015,18,3,0
36,19/04/2015,19,5,1
36,19/04/2015,20,1,5
36,19/04/2015,21,1,0
36,19/04/2015,22,1,2
36,19/04/2015,23,0,0
36,20/04/2015,0,0,0
36,20/04/2015,1,0,0
36,20/04/2015,2,0,0
36,20/04/2015,3,0,0
36,20/04/2015,4,1,0
36,20/04/2015,5,0,0
36,20/04/2015,6,1,2
36,20/04/2015,7,5,3
36,20/04/2015,8,9,7
36,20/04/2015,9,3,3
36,20/04/2015,10,1,1
36,20/04/2015,11,1,3
36,20/04/2015,12,7,7
36,20/04/2015,13,7,1
36,20/04/2015,14,5,4
36,20/04/2015,15,7,6
36,20/04/2015,16,9,10
36,20/04/2015,17,16,18
36,20/04/2015,18,6,8
36,20/04/2015,19,6,4
36,20/04/2015,20,6,2
36,20/04/2015,21,2,2
36,20/04/2015,22,0,2
36,20/04/2015,23,1,0
36,21/04/2015,0,0,0
36,21/04/2015,1,0,0
36,21/04/2015,2,0,1
36,21/04/2015,3,0,0
36,21/04/2015,4,0,0
36,21/04/2015,5,0,0
36,21/04/2015,6,2,4
36,21/04/2015,7,7,7
36,21/04/2015,8,11,11
36,21/04/2015,9,8,2
36,21/04/2015,10,3,4
36,21/04/2015,11,3,7
36,21/04/2015,12,4,7
36,21/04/2015,13,8,11
36,21/04/2015,14,6,5
36,21/04/2015,15,8,8
36,21/04/2015,16,12,11
36,21/04/2015,17,16,18
36,21/04/2015,18,8,8
36,21/04/2015,19,10,4
36,21/04/2015,20,5,3
36,21/04/2015,21,3,1
36,21/04/2015,22,0,8
36,21/04/2015,23,2,1
36,22/04/2015,0,0,0
36,22/04/2015,1,0,0
36,22/04/2015,2,0,0
36,22/04/2015,3,0,0
36,22/04/2015,4,0,0
36,22/04/2015,5,1,0
36,22/04/2015,6,0,1
36,22/04/2015,7,4,6
36,22/04/2015,8,5,7
36,22/04/2015,9,9,6
36,22/04/2015,10,9,9
36,22/04/2015,11,4,6
36,22/04/2015,12,3,2
36,22/04/2015,13,7,11
36,22/04/2015,14,6,6
36,22/04/2015,15,9,5
36,22/04/2015,16,8,12
36,22/04/2015,17,14,22
36,22/04/2015,18,16,15
36,22/04/2015,19,8,7
36,22/04/2015,20,6,3
36,22/04/2015,21,4,3
36,22/04/2015,22,1,5
36,22/04/2015,23,0,0
36,23/04/2015,0,0,0
36,23/04/2015,1,0,1
36,23/04/2015,2,0,1
36,23/04/2015,3,0,0
36,23/04/2015,4,0,0
36,23/04/2015,5,0,0
36,23/04/2015,6,0,2
36,23/04/2015,7,6,7
36,23/04/2015,8,11,12
36,23/04/2015,9,13,3
36,23/04/2015,10,4,2
36,23/04/2015,11,6,1
36,23/04/2015,12,6,4
36,23/04/2015,13,4,4
36,23/04/2015,14,4,5
36,23/04/2015,15,7,6
36,23/04/2015,16,6,3
36,23/04/2015,17,15,15
36,23/04/2015,18,10,12
36,23/04/2015,19,6,8
36,23/04/2015,20,3,1
36,23/04/2015,21,1,3
36,23/04/2015,22,3,3
36,23/04/2015,23,0,3
36,24/04/2015,0,1,0
36,24/04/2015,1,1,0
36,24/04/2015,2,0,0
36,24/04/2015,3,0,0
36,24/04/2015,4,0,0
36,24/04/2015,5,0,1
36,24/04/2015,6,1,2
36,24/04/2015,7,1,7
36,24/04/2015,8,11,6
36,24/04/2015,9,3,6
36,24/04/2015,10,3,1
36,24/04/2015,11,6,4
36,24/04/2015,12,5,4
36,24/04/2015,13,9,5
36,24/04/2015,14,10,11
36,24/04/2015,15,7,5
36,24/04/2015,16,5,6
36,24/04/2015,17,14,13
36,24/04/2015,18,3,2
36,24/04/2015,19,4,3
36,24/04/2015,20,1,0
36,24/04/2015,21,1,2
36,24/04/2015,22,1,2
36,24/04/2015,23,1,0
36,25/04/2015,0,0,1
36,25/04/2015,1,0,0
36,25/04/2015,2,0,0
36,25/04/2015,3,0,0
36,25/04/2015,4,0,0
36,25/04/2015,5,0,0
36,25/04/2015,6,0,1
36,25/04/2015,7,0,2
36,25/04/2015,8,1,2
36,25/04/2015,9,2,7
36,25/04/2015,10,0,1
36,25/04/2015,11,11,4
36,25/04/2015,12,1,0
36,25/04/2015,13,1,8
36,25/04/2015,14,7,5
36,25/04/2015,15,5,4
36,25/04/2015,16,6,5
36,25/04/2015,17,5,3
36,25/04/2015,18,5,2
36,25/04/2015,19,1,3
36,25/04/2015,20,5,1
36,25/04/2015,21,0,1
36,25/04/2015,22,2,0
36,25/04/2015,23,1,2
36,26/04/2015,0,0,1
36,26/04/2015,1,0,1
36,26/04/2015,2,0,1
36,26/04/2015,3,0,0
36,26/04/2015,4,0,0
36,26/04/2015,5,0,0
36,26/04/2015,6,0,0
36,26/04/2015,7,1,2
36,26/04/2015,8,0,3
36,26/04/2015,9,4,2
36,26/04/2015,10,10,10
36,26/04/2015,11,6,4
36,26/04/2015,12,6,14
36,26/04/2015,13,6,4
36,26/04/2015,14,4,5
36,26/04/2015,15,7,2
36,26/04/2015,16,1,1
36,26/04/2015,17,5,3
36,26/04/2015,18,3,2
36,26/04/2015,19,2,0
36,26/04/2015,20,0,0
36,26/04/2015,21,1,0
36,26/04/2015,22,0,2
36,26/04/2015,23,0,0
36,27/04/2015,0,0,0
36,27/04/2015,1,0,1
36,27/04/2015,2,1,0
36,27/04/2015,3,0,0
36,27/04/2015,4,0,0
36,27/04/2015,5,0,0
36,27/04/2015,6,1,0
36,27/04/2015,7,2,6
36,27/04/2015,8,17,3
36,27/04/2015,9,5,4
36,27/04/2015,10,3,3
36,27/04/2015,11,6,3
36,27/04/2015,12,2,5
36,27/04/2015,13,6,4
36,27/04/2015,14,3,5
36,27/04/2015,15,8,2
36,27/04/2015,16,8,7
36,27/04/2015,17,6,14
36,27/04/2015,18,1,7
36,27/04/2015,19,4,1
36,27/04/2015,20,3,2
36,27/04/2015,21,1,1
36,27/04/2015,22,0,1
36,27/04/2015,23,0,0
36,28/04/2015,0,1,0
36,28/04/2015,1,0,0
36,28/04/2015,2,0,0
36,28/04/2015,3,0,0
36,28/04/2015,4,0,0
36,28/04/2015,5,0,0
36,28/04/2015,6,0,1
36,28/04/2015,7,4,5
36,28/04/2015,8,17,6
36,28/04/2015,9,9,6
36,28/04/2015,10,1,2
36,28/04/2015,11,1,4
36,28/04/2015,12,7,3
36,28/04/2015,13,3,0
36,28/04/2015,14,1,1
36,28/04/2015,15,2,1
36,28/04/2015,16,4,7
36,28/04/2015,17,8,16
36,28/04/2015,18,6,5
36,28/04/2015,19,6,4
36,28/04/2015,20,3,2
36,28/04/2015,21,0,0
36,28/04/2015,22,2,3
36,28/04/2015,23,2,0
36,29/04/2015,0,1,0
36,29/04/2015,1,0,0
36,29/04/2015,2,0,1
36,29/04/2015,3,0,0
36,29/04/2015,4,0,0
36,29/04/2015,5,0,0
36,29/04/2015,6,1,1
36,29/04/2015,7,0,3
36,29/04/2015,8,13,10
36,29/04/2015,9,8,3
36,29/04/2015,10,1,3
36,29/04/2015,11,0,1
36,29/04/2015,12,2,2
36,29/04/2015,13,5,2
36,29/04/2015,14,1,3
36,29/04/2015,15,5,2
36,29/04/2015,16,4,7
36,29/04/2015,17,10,10
36,29/04/2015,18,5,3
36,29/04/2015,19,3,1
36,29/04/2015,20,0,2
36,29/04/2015,21,3,2
36,29/04/2015,22,2,2
36,29/04/2015,23,0,1
36,30/04/2015,0,0,1
36,30/04/2015,1,0,0
36,30/04/2015,2,0,0
36,30/04/2015,3,0,0
36,30/04/2015,4,0,0
36,30/04/2015,5,0,0
36,30/04/2015,6,1,1
36,30/04/2015,7,5,5
36,30/04/2015,8,11,9
36,30/04/2015,9,14,4
36,30/04/2015,10,5,6
36,30/04/2015,11,5,2
36,30/04/2015,12,6,5
36,30/04/2015,13,3,4
36,30/04/2015,14,8,4
36,30/04/2015,15,10,4
36,30/04/2015,16,5,5
36,30/04/2015,17,9,8
36,30/04/2015,18,5,7
36,30/04/2015,19,10,5
36,30/04/2015,20,5,5
36,30/04/2015,21,1,0
36,30/04/2015,22,2,3
36,30/04/2015,23,0,2
36,01/05/2015,0,0,1
36,01/05/2015,1,0,1
36,01/05/2015,2,0,0
36,01/05/2015,3,0,0
36,01/05/2015,4,0,0
36,01/05/2015,5,0,0
36,01/05/2015,6,2,3
36,01/05/2015,7,6,3
36,01/05/2015,8,12,3
36,01/05/2015,9,12,5
36,01/05/2015,10,2,3
36,01/05/2015,11,5,4
36,01/05/2015,12,4,1
36,01/05/2015,13,6,8
36,01/05/2015,14,9,10
36,01/05/2015,15,10,7
36,01/05/2015,16,12,6
36,01/05/2015,17,8,10
36,01/05/2015,18,6,9
36,01/05/2015,19,6,5
36,01/05/2015,20,6,5
36,01/05/2015,21,0,3
36,01/05/2015,22,2,1
36,01/05/2015,23,1,2
36,02/05/2015,0,0,1
36,02/05/2015,1,0,0
36,02/05/2015,2,0,0
36,02/05/2015,3,0,0
36,02/05/2015,4,0,0
36,02/05/2015,5,0,0
36,02/05/2015,6,0,2
36,02/05/2015,7,0,0
36,02/05/2015,8,6,2
36,02/05/2015,9,6,4
36,02/05/2015,10,6,6
36,02/05/2015,11,2,2
36,02/05/2015,12,6,0
36,02/05/2015,13,0,2
36,02/05/2015,14,3,3
36,02/05/2015,15,6,4
36,02/05/2015,16,5,2
36,02/05/2015,17,3,1
36,02/05/2015,18,0,2
36,02/05/2015,19,2,2
36,02/05/2015,20,2,0
36,02/05/2015,21,1,0
36,02/05/2015,22,0,0
36,02/05/2015,23,0,1
36,03/05/2015,0,0,0
36,03/05/2015,1,0,0
36,03/05/2015,2,1,0
36,03/05/2015,3,1,1
36,03/05/2015,4,0,1
36,03/05/2015,5,0,0
36,03/05/2015,6,4,2
36,03/05/2015,7,0,0
36,03/05/2015,8,2,4
36,03/05/2015,9,0,0
36,03/05/2015,10,6,2
36,03/05/2015,11,1,0
36,03/05/2015,12,0,1
36,03/05/2015,13,1,0
36,03/05/2015,14,0,1
36,03/05/2015,15,0,0
36,03/05/2015,16,0,2
36,03/05/2015,17,1,0
36,03/05/2015,18,2,2
36,03/05/2015,19,3,0
36,03/05/2015,20,1,2
36,03/05/2015,21,0,1
36,03/05/2015,22,0,0
36,03/05/2015,23,0,1
36,04/05/2015,0,0,0
36,04/05/2015,1,0,0
36,04/05/2015,2,0,1
36,04/05/2015,3,0,0
36,04/05/2015,4,0,0
36,04/05/2015,5,0,0
36,04/05/2015,6,1,4
36,04/05/2015,7,3,0
36,04/05/2015,8,8,2
36,04/05/2015,9,4,13
36,04/05/2015,10,2,8
36,04/05/2015,11,10,9
36,04/05/2015,12,4,8
36,04/05/2015,13,5,5
36,04/05/2015,14,6,4
36,04/05/2015,15,7,8
36,04/05/2015,16,8,6
36,04/05/2015,17,10,4
36,04/05/2015,18,11,2
36,04/05/2015,19,3,5
36,04/05/2015,20,6,4
36,04/05/2015,21,0,2
36,04/05/2015,22,1,2
36,04/05/2015,23,0,0
36,05/05/2015,0,0,0
36,05/05/2015,1,0,1
36,05/05/2015,2,0,0
36,05/05/2015,3,0,0
36,05/05/2015,4,0,0
36,05/05/2015,5,1,0
36,05/05/2015,6,1,2
36,05/05/2015,7,4,3
36,05/05/2015,8,15,5
36,05/05/2015,9,6,3
36,05/05/2015,10,2,0
36,05/05/2015,11,1,1
36,05/05/2015,12,1,0
36,05/05/2015,13,2,3
36,05/05/2015,14,5,1
36,05/05/2015,15,4,2
36,05/05/2015,16,2,1
36,05/05/2015,17,8,4
36,05/05/2015,18,9,9
36,05/05/2015,19,5,0
36,05/05/2015,20,6,1
36,05/05/2015,21,0,2
36,05/05/2015,22,0,1
36,05/05/2015,23,1,0
36,06/05/2015,0,0,0
36,06/05/2015,1,0,0
36,06/05/2015,2,0,0
36,06/05/2015,3,0,0
36,06/05/2015,4,0,0
36,06/05/2015,5,2,0
36,06/05/2015,6,2,2
36,06/05/2015,7,1,9
36,06/05/2015,8,10,4
36,06/05/2015,9,5,5
36,06/05/2015,10,2,2
36,06/05/2015,11,1,0
