counter_id,date,time,channel_1,channel_2
37,05/04/2015,0,0,0
37,05/04/2015,1,0,0
37,05/04/2015,2,1,0
37,05/04/2015,3,0,0
37,05/04/2015,4,0,0
37,05/04/2015,5,0,0
37,05/04/2015,6,0,0
37,05/04/2015,7,1,1
37,05/04/2015,8,1,0
37,05/04/2015,9,0,3
37,05/04/2015,10,3,0
37,05/04/2015,11,5,1
37,05/04/2015,12,1,6
37,05/04/2015,13,6,6
37,05/04/2015,14,2,3
37,05/04/2015,15,3,1
37,05/04/2015,16,1,4
37,05/04/2015,17,1,2
37,05/04/2015,18,1,8
37,05/04/2015,19,0,2
37,05/04/2015,20,1,1
37,05/04/2015,21,0,1
37,05/04/2015,22,2,1
37,05/04/2015,23,1,1
37,06/04/2015,0,0,0
37,06/04/2015,1,1,0
37,06/04/2015,2,1,0
37,06/04/2015,3,0,0
37,06/04/2015,4,0,0
37,06/04/2015,5,0,0
37,06/04/2015,6,0,0
37,06/04/2015,7,6,0
37,06/04/2015,8,6,6
37,06/04/2015,9,6,7
37,06/04/2015,10,7,5
37,06/04/2015,11,9,4
37,06/04/2015,12,7,3
37,06/04/2015,13,2,4
37,06/04/2015,14,6,5
37,06/04/2015,15,10,4
37,06/04/2015,16,7,10
37,06/04/2015,17,4,5
37,06/04/2015,18,5,10
37,06/04/2015,19,8,4
37,06/04/2015,20,4,2
37,06/04/2015,21,2,3
37,06/04/2015,22,0,3
37,06/04/2015,23,0,0
37,07/04/2015,0,0,0
37,07/04/2015,1,0,0
37,07/04/2015,2,0,0
37,07/04/2015,3,0,0
37,07/04/2015,4,0,0
37,07/04/2015,5,0,0
37,07/04/2015,6,1,0
37,07/04/2015,7,8,5
37,07/04/2015,8,22,8
37,07/04/2015,9,6,5
37,07/04/2015,10,10,5
37,07/04/2015,11,0,2
37,07/04/2015,12,4,6
37,07/04/2015,13,3,4
37,07/04/2015,14,1,3
37,07/04/2015,15,1,4
37,07/04/2015,16,3,7
37,07/04/2015,17,13,18
37,07/04/2015,18,7,18
37,07/04/2015,19,4,7
37,07/04/2015,20,2,3
37,07/04/2015,21,1,0
37,07/04/2015,22,2,0
37,07/04/2015,23,1,0
37,08/04/2015,0,0,0
37,08/04/2015,1,0,0
37,08/04/2015,2,0,0
37,08/04/2015,3,0,0
37,08/04/2015,4,0,0
37,08/04/2015,5,0,0
37,08/04/2015,6,4,0
37,08/04/2015,7,12,2
37,08/04/2015,8,28,7
37,08/04/2015,9,8,12
37,08/04/2015,10,4,8
37,08/04/2015,11,8,6
37,08/04/2015,12,4,2
37,08/04/2015,13,3,5
37,08/04/2015,14,2,3
37,08/04/2015,15,1,3
37,08/04/2015,16,7,8
37,08/04/2015,17,9,17
37,08/04/2015,18,9,15
37,08/04/2015,19,5,4
37,08/04/2015,20,3,4
37,08/04/2015,21,3,4
37,08/04/2015,22,0,2
37,08/04/2015,23,0,0
37,09/04/2015,0,0,0
37,09/04/2015,1,0,0
37,09/04/2015,2,0,0
37,09/04/2015,3,0,0
37,09/04/2015,4,0,0
37,09/04/2015,5,0,0
37,09/04/2015,6,1,0
37,09/04/2015,7,11,3
37,09/04/2015,8,33,14
37,09/04/2015,9,13,3
37,09/04/2015,10,3,2
37,09/04/2015,11,3,3
37,09/04/2015,12,13,3
37,09/04/2015,13,4,4
37,09/04/2015,14,6,4
37,09/04/2015,15,4,10
37,09/04/2015,16,6,7
37,09/04/2015,17,16,20
37,09/04/2015,18,17,17
37,09/04/2015,19,4,11
37,09/04/2015,20,4,4
37,09/04/2015,21,3,2
37,09/04/2015,22,0,1
37,09/04/2015,23,0,0
37,10/04/2015,0,0,0
37,10/04/2015,1,0,0
37,10/04/2015,2,0,0
37,10/04/2015,3,0,0
37,10/04/2015,4,0,0
37,10/04/2015,5,0,0
37,10/04/2015,6,0,2
37,10/04/2015,7,5,5
37,10/04/2015,8,17,10
