counter_id,date,time,channel_1,channel_2
38,09/08/2015,0,1,0
38,09/08/2015,1,1,0
38,09/08/2015,2,0,0
38,09/08/2015,3,1,0
38,09/08/2015,4,0,0
38,09/08/2015,5,0,0
38,09/08/2015,6,0,0
38,09/08/2015,7,4,2
38,09/08/2015,8,5,0
38,09/08/2015,9,13,2
38,09/08/2015,10,25,2
38,09/08/2015,11,20,3
38,09/08/2015,12,12,4
38,09/08/2015,13,7,2
38,09/08/2015,14,13,3
38,09/08/2015,15,7,0
38,09/08/2015,16,11,3
38,09/08/2015,17,7,3
38,09/08/2015,18,9,1
38,09/08/2015,19,4,3
38,09/08/2015,20,2,3
38,09/08/2015,21,3,0
38,09/08/2015,22,0,0
38,09/08/2015,23,0,1
38,10/08/2015,0,1,1
38,10/08/2015,1,0,0
38,10/08/2015,2,0,0
38,10/08/2015,3,0,0
38,10/08/2015,4,0,0
38,10/08/2015,5,3,0
38,10/08/2015,6,12,0
38,10/08/2015,7,26,3
38,10/08/2015,8,75,2
38,10/08/2015,9,28,9
38,10/08/2015,10,20,5
38,10/08/2015,11,12,6
38,10/08/2015,12,15,5
38,10/08/2015,13,10,3
38,10/08/2015,14,16,3
38,10/08/2015,15,12,4
38,10/08/2015,16,22,5
38,10/08/2015,17,31,8
38,10/08/2015,18,15,2
38,10/08/2015,19,16,3
38,10/08/2015,20,7,2
38,10/08/2015,21,5,2
38,10/08/2015,22,4,2
38,10/08/2015,23,3,1
38,11/08/2015,0,2,1
38,11/08/2015,1,0,0
38,11/08/2015,2,0,0
38,11/08/2015,3,0,0
38,11/08/2015,4,0,0
38,11/08/2015,5,1,0
38,11/08/2015,6,7,0
38,11/08/2015,7,33,4
38,11/08/2015,8,58,5
38,11/08/2015,9,38,6
38,11/08/2015,10,5,4
38,11/08/2015,11,14,4
38,11/08/2015,12,11,3
38,11/08/2015,13,7,3
38,11/08/2015,14,7,2
38,11/08/2015,15,8,0
38,11/08/2015,16,15,8
38,11/08/2015,17,32,7
38,11/08/2015,18,17,5
38,11/08/2015,19,7,4
38,11/08/2015,20,7,2
38,11/08/2015,21,12,1
38,11/08/2015,22,3,2
38,11/08/2015,23,4,3
38,12/08/2015,0,1,0
38,12/08/2015,1,0,1
38,12/08/2015,2,0,0
38,12/08/2015,3,1,0
38,12/08/2015,4,2,0
38,12/08/2015,5,0,0
38,12/08/2015,6,8,2
38,12/08/2015,7,21,2
38,12/08/2015,8,91,8
38,12/08/2015,9,28,5
38,12/08/2015,10,12,2
38,12/08/2015,11,7,0
38,12/08/2015,12,5,3
38,12/08/2015,13,8,4
38,12/08/2015,14,8,3
38,12/08/2015,15,14,4
38,12/08/2015,16,19,7
38,12/08/2015,17,28,10
38,12/08/2015,18,21,7
38,12/08/2015,19,15,2
38,12/08/2015,20,4,2
38,12/08/2015,21,8,2
38,12/08/2015,22,1,3
38,12/08/2015,23,2,0
38,13/08/2015,0,2,0
38,13/08/2015,1,1,0
38,13/08/2015,2,2,0
38,13/08/2015,3,0,0
38,13/08/2015,4,2,0
38,13/08/2015,5,4,0
38,13/08/2015,6,8,5
38,13/08/2015,7,17,3
38,13/08/2015,8,83,12
38,13/08/2015,9,41,2
38,13/08/2015,10,13,1
38,13/08/2015,11,8,3
38,13/08/2015,12,10,1
38,13/08/2015,13,10,1
38,13/08/2015,14,16,6
38,13/08/2015,15,23,7
38,13/08/2015,16,24,9
38,13/08/2015,17,31,9
38,13/08/2015,18,20,6
38,13/08/2015,19,26,2
38,13/08/2015,20,14,3
38,13/08/2015,21,16,3
38,13/08/2015,22,4,4
38,13/08/2015,23,4,2
38,14/08/2015,0,2,0
38,14/08/2015,1,0,0
38,14/08/2015,2,0,0
38,14/08/2015,3,0,0
38,14/08/2015,4,0,0
38,14/08/2015,5,1,1
38,14/08/2015,6,7,0
38,14/08/2015,7,18,1
38,14/08/2015,8,45,5
38,14/08/2015,9,15,4
38,14/08/2015,10,5,2
38,14/08/2015,11,6,4
38,14/08/2015,12,11,4
38,14/08/2015,13,2,0
38,14/08/2015,14,8,3
38,14/08/2015,15,5,2
38,14/08/2015,16,9,3
38,14/08/2015,17,17,9
38,14/08/2015,18,8,3
38,14/08/2015,19,3,3
38,14/08/2015,20,10,3
38,14/08/2015,21,5,1
38,14/08/2015,22,1,0
38,14/08/2015,23,2,0
38,15/08/2015,0,1,1
38,15/08/2015,1,0,0
38,15/08/2015,2,2,0
38,15/08/2015,3,0,0
38,15/08/2015,4,0,0
38,15/08/2015,5,0,0
38,15/08/2015,6,4,1
38,15/08/2015,7,1,2
38,15/08/2015,8,12,7
38,15/08/2015,9,9,3
38,15/08/2015,10,17,4
38,15/08/2015,11,19,3
38,15/08/2015,12,18,5
38,15/08/2015,13,10,4
38,15/08/2015,14,20,1
38,15/08/2015,15,18,1
38,15/08/2015,16,10,1
38,15/08/2015,17,11,1
38,15/08/2015,18,10,1
38,15/08/2015,19,10,4
38,15/08/2015,20,5,3
38,15/08/2015,21,8,2
38,15/08/2015,22,3,1
38,15/08/2015,23,3,0
38,16/08/2015,0,1,0
38,16/08/2015,1,1,1
38,16/08/2015,2,0,0
38,16/08/2015,3,1,2
38,16/08/2015,4,1,0
38,16/08/2015,5,0,0
38,16/08/2015,6,1,1
38,16/08/2015,7,6,2
38,16/08/2015,8,7,0
38,16/08/2015,9,11,4
38,16/08/2015,10,8,5
38,16/08/2015,11,19,3
38,16/08/2015,12,25,5
38,16/08/2015,13,16,5
38,16/08/2015,14,17,9
38,16/08/2015,15,11,3
38,16/08/2015,16,9,5
38,16/08/2015,17,6,1
38,16/08/2015,18,11,4
38,16/08/2015,19,4,3
38,16/08/2015,20,8,3
38,16/08/2015,21,4,0
38,16/08/2015,22,1,1
38,16/08/2015,23,1,1
38,17/08/2015,0,0,0
38,17/08/2015,1,1,0
38,17/08/2015,2,0,0
38,17/08/2015,3,0,0
38,17/08/2015,4,0,1
38,17/08/2015,5,1,0
38,17/08/2015,6,11,2
38,17/08/2015,7,31,6
38,17/08/2015,8,91,10
38,17/08/2015,9,21,5
38,17/08/2015,10,8,0
38,17/08/2015,11,13,4
38,17/08/2015,12,11,7
38,17/08/2015,13,18,0
38,17/08/2015,14,11,4
38,17/08/2015,15,16,2
38,17/08/2015,16,23,4
38,17/08/2015,17,38,6
38,17/08/2015,18,20,6
38,17/08/2015,19,17,3
38,17/08/2015,20,7,3
38,17/08/2015,21,11,2
38,17/08/2015,22,2,2
38,17/08/2015,23,2,1
38,18/08/2015,0,0,0
38,18/08/2015,1,2,0
38,18/08/2015,2,0,0
38,18/08/2015,3,0,0
38,18/08/2015,4,0,0
38,18/08/2015,5,1,0
38,18/08/2015,6,9,1
38,18/08/2015,7,29,4
38,18/08/2015,8,67,8
38,18/08/2015,9,24,10
38,18/08/2015,10,14,5
38,18/08/2015,11,11,4
38,18/08/2015,12,10,5
38,18/08/2015,13,12,4
38,18/08/2015,14,9,5
38,18/08/2015,15,13,3
38,18/08/2015,16,8,3
38,18/08/2015,17,21,3
38,18/08/2015,18,19,6
38,18/08/2015,19,15,2
38,18/08/2015,20,12,3
38,18/08/2015,21,8,1
38,18/08/2015,22,5,0
38,18/08/2015,23,4,0
38,19/08/2015,0,0,0
38,19/08/2015,1,0,0
38,19/08/2015,2,0,0
38,19/08/2015,3,0,0
38,19/08/2015,4,1,0
38,19/08/2015,5,1,0
38,19/08/2015,6,14,0
38,19/08/2015,7,36,4
38,19/08/2015,8,80,4
38,19/08/2015,9,41,8
38,19/08/2015,10,18,2
38,19/08/2015,11,13,1
38,19/08/2015,12,7,2
38,19/08/2015,13,15,5
38,19/08/2015,14,12,4
38,19/08/2015,15,18,6
38,19/08/2015,16,18,11
38,19/08/2015,17,25,4
38,19/08/2015,18,11,2
