counter_id,date,time,channel_1,channel_2
39,09/08/2015,0,0,0
39,09/08/2015,1,0,0
39,09/08/2015,2,3,0
39,09/08/2015,3,0,0
39,09/08/2015,4,0,0
39,09/08/2015,5,2,0
39,09/08/2015,6,0,0
39,09/08/2015,7,1,0
39,09/08/2015,8,2,0
39,09/08/2015,9,7,0
39,09/08/2015,10,6,0
39,09/08/2015,11,6,0
39,09/08/2015,12,10,0
39,09/08/2015,13,10,0
39,09/08/2015,14,7,0
39,09/08/2015,15,11,0
39,09/08/2015,16,20,0
39,09/08/2015,17,17,0
39,09/08/2015,18,21,0
39,09/08/2015,19,6,0
39,09/08/2015,20,5,0
39,09/08/2015,21,4,0
39,09/08/2015,22,2,0
39,09/08/2015,23,4,0
39,10/08/2015,0,5,0
39,10/08/2015,1,2,0
39,10/08/2015,2,1,0
39,10/08/2015,3,2,0
39,10/08/2015,4,1,0
39,10/08/2015,5,1,0
39,10/08/2015,6,3,0
39,10/08/2015,7,5,0
39,10/08/2015,8,22,0
39,10/08/2015,9,8,0
39,10/08/2015,10,9,0
39,10/08/2015,11,6,0
39,10/08/2015,12,3,0
39,10/08/2015,13,7,0
39,10/08/2015,14,9,0
39,10/08/2015,15,16,0
39,10/08/2015,16,36,0
39,10/08/2015,17,68,0
39,10/08/2015,18,48,0
39,10/08/2015,19,19,0
39,10/08/2015,20,14,0
39,10/08/2015,21,11,0
39,10/08/2015,22,11,0
39,10/08/2015,23,13,0
39,11/08/2015,0,2,0
39,11/08/2015,1,2,0
39,11/08/2015,2,5,0
39,11/08/2015,3,0,0
39,11/08/2015,4,0,0
39,11/08/2015,5,1,0
39,11/08/2015,6,1,0
39,11/08/2015,7,3,0
39,11/08/2015,8,25,0
39,11/08/2015,9,22,0
39,11/08/2015,10,10,0
39,11/08/2015,11,11,0
39,11/08/2015,12,13,0
39,11/08/2015,13,12,0
39,11/08/2015,14,11,0
39,11/08/2015,15,8,0
39,11/08/2015,16,15,0
39,11/08/2015,17,79,0
39,11/08/2015,18,38,0
39,11/08/2015,19,20,0
39,11/08/2015,20,17,0
39,11/08/2015,21,15,0
39,11/08/2015,22,12,0
39,11/08/2015,23,3,0
39,12/08/2015,0,10,0
39,12/08/2015,1,6,0
39,12/08/2015,2,2,0
39,12/08/2015,3,1,0
39,12/08/2015,4,1,0
39,12/08/2015,5,0,0
39,12/08/2015,6,3,0
39,12/08/2015,7,7,0
39,12/08/2015,8,15,0
39,12/08/2015,9,13,0
39,12/08/2015,10,5,0
39,12/08/2015,11,4,0
39,12/08/2015,12,9,0
39,12/08/2015,13,13,0
39,12/08/2015,14,9,0
39,12/08/2015,15,19,0
39,12/08/2015,16,35,0
39,12/08/2015,17,53,0
39,12/08/2015,18,43,0
39,12/08/2015,19,25,0
39,12/08/2015,20,4,0
39,12/08/2015,21,17,0
39,12/08/2015,22,8,0
39,12/08/2015,23,8,0
39,13/08/2015,0,7,0
39,13/08/2015,1,3,0
39,13/08/2015,2,0,0
39,13/08/2015,3,1,0
39,13/08/2015,4,0,0
39,13/08/2015,5,2,0
39,13/08/2015,6,0,0
39,13/08/2015,7,4,0
39,13/08/2015,8,19,0
39,13/08/2015,9,18,0
39,13/08/2015,10,11,0
39,13/08/2015,11,7,0
39,13/08/2015,12,9,0
39,13/08/2015,13,17,0
39,13/08/2015,14,7,0
39,13/08/2015,15,25,0
39,13/08/2015,16,29,0
