counter_id,date,time,channel_1,channel_2
40,22/03/2015,0,0,0
40,22/03/2015,1,0,0
40,22/03/2015,2,0,0
40,22/03/2015,3,0,0
40,22/03/2015,4,1,0
40,22/03/2015,5,2,0
40,22/03/2015,6,1,0
40,22/03/2015,7,1,0
40,22/03/2015,8,5,0
40,22/03/2015,9,2,0
40,22/03/2015,10,7,0
40,22/03/2015,11,8,0
40,22/03/2015,12,7,0
40,22/03/2015,13,9,0
40,22/03/2015,14,9,0
40,22/03/2015,15,9,0
40,22/03/2015,16,13,0
40,22/03/2015,17,9,0
40,22/03/2015,18,4,0
40,22/03/2015,19,1,0
40,22/03/2015,20,5,0
40,22/03/2015,21,0,0
40,22/03/2015,22,1,0
40,22/03/2015,23,1,0
40,23/03/2015,0,1,0
40,23/03/2015,1,1,0
40,23/03/2015,2,0,0
40,23/03/2015,3,1,0
40,23/03/2015,4,0,0
40,23/03/2015,5,1,0
40,23/03/2015,6,0,0
40,23/03/2015,7,9,0
40,23/03/2015,8,81,0
40,23/03/2015,9,93,0
40,23/03/2015,10,59,0
40,23/03/2015,11,12,0
40,23/03/2015,12,26,0
40,23/03/2015,13,40,0
40,23/03/2015,14,25,0
40,23/03/2015,15,21,0
40,23/03/2015,16,21,0
40,23/03/2015,17,49,0
40,23/03/2015,18,18,0
40,23/03/2015,19,13,0
40,23/03/2015,20,5,0
40,23/03/2015,21,3,0
40,23/03/2015,22,4,0
40,23/03/2015,23,2,0
40,24/03/2015,0,1,0
40,24/03/2015,1,1,0
40,24/03/2015,2,0,0
40,24/03/2015,3,0,0
40,24/03/2015,4,0,0
40,24/03/2015,5,0,0
40,24/03/2015,6,1,0
40,24/03/2015,7,14,0
40,24/03/2015,8,82,0
40,24/03/2015,9,85,0
40,24/03/2015,10,39,0
40,24/03/2015,11,25,0
40,24/03/2015,12,24,0
40,24/03/2015,13,28,0
40,24/03/2015,14,29,0
40,24/03/2015,15,18,0
40,24/03/2015,16,19,0
40,24/03/2015,17,40,0
40,24/03/2015,18,31,0
40,24/03/2015,19,8,0
40,24/03/2015,20,6,0
40,24/03/2015,21,6,0
40,24/03/2015,22,8,0
40,24/03/2015,23,1,0
40,25/03/2015,0,0,0
40,25/03/2015,1,0,0
40,25/03/2015,2,0,0
40,25/03/2015,3,0,0
40,25/03/2015,4,0,0
40,25/03/2015,5,0,0
40,25/03/2015,6,2,0
40,25/03/2015,7,9,0
40,25/03/2015,8,70,0
40,25/03/2015,9,105,0
40,25/03/2015,10,37,0
40,25/03/2015,11,25,0
40,25/03/2015,12,27,0
40,25/03/2015,13,31,0
40,25/03/2015,14,21,0
40,25/03/2015,15,11,0
40,25/03/2015,16,26,0
40,25/03/2015,17,43,0
40,25/03/2015,18,21,0
40,25/03/2015,19,15,0
40,25/03/2015,20,9,0
40,25/03/2015,21,6,0
40,25/03/2015,22,2,0
40,25/03/2015,23,3,0
40,26/03/2015,0,2,0
40,26/03/2015,1,1,0
40,26/03/2015,2,1,0
40,26/03/2015,3,0,0
40,26/03/2015,4,0,0
40,26/03/2015,5,0,0
40,26/03/2015,6,0,0
40,26/03/2015,7,3,0
40,26/03/2015,8,65,0
40,26/03/2015,9,76,0
40,26/03/2015,10,41,0
40,26/03/2015,11,31,0
40,26/03/2015,12,24,0
40,26/03/2015,13,19,0
40,26/03/2015,14,16,0
40,26/03/2015,15,15,0
40,26/03/2015,16,16,0
40,26/03/2015,17,30,0
40,26/03/2015,18,16,0
