counter_id,date,time,channel_1,channel_2,
42,22/03/2015,0,6,3,9
42,22/03/2015,1,4,2,6
42,22/03/2015,2,2,1,3
42,22/03/2015,3,2,0,2
42,22/03/2015,4,0,3,3
42,22/03/2015,5,0,0,0
42,22/03/2015,6,1,1,2
42,22/03/2015,7,5,14,19
42,22/03/2015,8,5,15,20
42,22/03/2015,9,12,19,31
42,22/03/2015,10,19,22,41
42,22/03/2015,11,22,37,59
42,22/03/2015,12,22,29,51
42,22/03/2015,13,18,19,37
42,22/03/2015,14,21,34,55
42,22/03/2015,15,22,27,49
42,22/03/2015,16,43,24,67
42,22/03/2015,17,28,26,54
42,22/03/2015,18,21,23,44
42,22/03/2015,19,24,11,35
42,22/03/2015,20,28,8,36
42,22/03/2015,21,10,7,17
42,22/03/2015,22,6,10,16
42,22/03/2015,23,4,4,8
42,23/03/2015,0,5,2,7
42,23/03/2015,1,2,0,2
42,23/03/2015,2,2,1,3
42,23/03/2015,3,2,0,2
42,23/03/2015,4,0,0,0
42,23/03/2015,5,1,2,3
42,23/03/2015,6,6,8,14
42,23/03/2015,7,20,41,61
42,23/03/2015,8,42,116,158
42,23/03/2015,9,18,87,105
42,23/03/2015,10,16,36,52
42,23/03/2015,11,21,29,50
42,23/03/2015,12,25,27,52
42,23/03/2015,13,21,31,52
42,23/03/2015,14,24,30,54
42,23/03/2015,15,30,23,53
42,23/03/2015,16,56,29,85
42,23/03/2015,17,101,63,164
42,23/03/2015,18,51,50,101
42,23/03/2015,19,42,16,58
42,23/03/2015,20,37,12,49
42,23/03/2015,21,20,9,29
42,23/03/2015,22,19,6,25
42,23/03/2015,23,4,2,6
42,24/03/2015,0,4,3,7
42,24/03/2015,1,0,1,1
42,24/03/2015,2,0,1,1
42,24/03/2015,3,1,0,1
42,24/03/2015,4,1,0,1
42,24/03/2015,5,0,2,2
42,24/03/2015,6,2,7,9
42,24/03/2015,7,16,50,66
42,24/03/2015,8,33,119,152
42,24/03/2015,9,26,70,96
42,24/03/2015,10,18,40,58
42,24/03/2015,11,13,34,47
42,24/03/2015,12,22,30,52
42,24/03/2015,13,23,21,44
42,24/03/2015,14,14,29,43
42,24/03/2015,15,44,24,68
42,24/03/2015,16,46,31,77
42,24/03/2015,17,98,59,157
42,24/03/2015,18,63,50,113
42,24/03/2015,19,51,28,79
42,24/03/2015,20,39,20,59
42,24/03/2015,21,36,6,42
42,24/03/2015,22,23,6,29
42,24/03/2015,23,12,2,14
42,25/03/2015,0,3,1,4
42,25/03/2015,1,4,0,4
42,25/03/2015,2,1,0,1
42,25/03/2015,3,1,0,1
42,25/03/2015,4,1,0,1
42,25/03/2015,5,2,1,3
42,25/03/2015,6,3,8,11
42,25/03/2015,7,19,44,63
42,25/03/2015,8,36,110,146
42,25/03/2015,9,19,77,96
42,25/03/2015,10,17,34,51
42,25/03/2015,11,20,36,56
42,25/03/2015,12,22,27,49
42,25/03/2015,13,29,34,63
42,25/03/2015,14,30,31,61
42,25/03/2015,15,46,22,68
42,25/03/2015,16,48,51,99
42,25/03/2015,17,79,73,152
42,25/03/2015,18,78,46,124
42,25/03/2015,19,35,20,55
42,25/03/2015,20,33,13,46
42,25/03/2015,21,28,15,43
42,25/03/2015,22,24,6,30
42,25/03/2015,23,9,4,13
42,26/03/2015,0,2,3,5
42,26/03/2015,1,4,0,4
42,26/03/2015,2,2,0,2
42,26/03/2015,3,0,0,0
42,26/03/2015,4,0,1,1
42,26/03/2015,5,1,1,2
42,26/03/2015,6,1,6,7
42,26/03/2015,7,15,24,39
42,26/03/2015,8,25,98,123
42,26/03/2015,9,15,66,81
42,26/03/2015,10,10,32,42
42,26/03/2015,11,12,22,34
42,26/03/2015,12,22,23,45
42,26/03/2015,13,30,27,57
42,26/03/2015,14,18,24,42
42,26/03/2015,15,19,15,34
42,26/03/2015,16,52,38,90
42,26/03/2015,17,95,45,140
42,26/03/2015,18,48,46,94
42,26/03/2015,19,47,19,66
42,26/03/2015,20,32,14,46
42,26/03/2015,21,30,14,44
42,26/03/2015,22,9,6,15
