counter_id,date,time,channel_1,channel_2,
43,22/03/2015,0,6,4,10
43,22/03/2015,1,6,2,8
43,22/03/2015,2,2,1,3
43,22/03/2015,3,0,0,0
43,22/03/2015,4,0,0,0
43,22/03/2015,5,0,0,0
43,22/03/2015,6,0,0,0
43,22/03/2015,7,4,11,15
43,22/03/2015,8,7,12,19
43,22/03/2015,9,16,25,41
43,22/03/2015,10,23,25,48
43,22/03/2015,11,27,36,63
43,22/03/2015,12,28,35,63
43,22/03/2015,13,24,29,53
43,22/03/2015,14,15,40,55
43,22/03/2015,15,51,48,99
43,22/03/2015,16,47,25,72
43,22/03/2015,17,29,29,58
43,22/03/2015,18,26,14,40
43,22/03/2015,19,13,10,23
43,22/03/2015,20,19,8,27
43,22/03/2015,21,3,2,5
43,22/03/2015,22,8,4,12
43,22/03/2015,23,1,4,5
43,23/03/2015,0,1,0,1
43,23/03/2015,1,2,0,2
43,23/03/2015,2,0,1,1
43,23/03/2015,3,1,0,1
43,23/03/2015,4,0,0,0
43,23/03/2015,5,0,1,1
43,23/03/2015,6,1,5,6
43,23/03/2015,7,13,35,48
43,23/03/2015,8,31,111,142
43,23/03/2015,9,16,80,96
43,23/03/2015,10,14,32,46
43,23/03/2015,11,17,28,45
43,23/03/2015,12,25,41,66
43,23/03/2015,13,26,28,54
43,23/03/2015,14,24,25,49
43,23/03/2015,15,27,25,52
43,23/03/2015,16,52,23,75
43,23/03/2015,17,81,34,115
43,23/03/2015,18,42,37,79
43,23/03/2015,19,34,14,48
43,23/03/2015,20,31,12,43
43,23/03/2015,21,16,5,21
43,23/03/2015,22,9,8,17
43,23/03/2015,23,4,1,5
43,24/03/2015,0,3,2,5
43,24/03/2015,1,0,1,1
43,24/03/2015,2,5,0,5
43,24/03/2015,3,0,0,0
43,24/03/2015,4,0,0,0
43,24/03/2015,5,0,2,2
43,24/03/2015,6,0,10,10
43,24/03/2015,7,10,38,48
43,24/03/2015,8,35,113,148
43,24/03/2015,9,16,71,87
43,24/03/2015,10,32,42,74
43,24/03/2015,11,17,36,53
43,24/03/2015,12,29,45,74
43,24/03/2015,13,20,25,45
43,24/03/2015,14,20,24,44
43,24/03/2015,15,39,26,65
43,24/03/2015,16,56,34,90
43,24/03/2015,17,89,40,129
43,24/03/2015,18,54,35,89
43,24/03/2015,19,36,25,61
43,24/03/2015,20,25,16,41
43,24/03/2015,21,18,4,22
43,24/03/2015,22,16,5,21
43,24/03/2015,23,6,1,7
43,25/03/2015,0,3,2,5
43,25/03/2015,1,2,0,2
43,25/03/2015,2,1,0,1
43,25/03/2015,3,1,0,1
43,25/03/2015,4,1,0,1
43,25/03/2015,5,0,1,1
43,25/03/2015,6,1,7,8
43,25/03/2015,7,12,44,56
43,25/03/2015,8,40,112,152
43,25/03/2015,9,18,75,93
43,25/03/2015,10,16,41,57
43,25/03/2015,11,17,46,63
43,25/03/2015,12,23,17,40
43,25/03/2015,13,42,44,86
43,25/03/2015,14,41,25,66
43,25/03/2015,15,46,25,71
43,25/03/2015,16,49,36,85
43,25/03/2015,17,67,47,114
43,25/03/2015,18,67,35,102
43,25/03/2015,19,23,23,46
43,25/03/2015,20,26,8,34
43,25/03/2015,21,15,16,31
43,25/03/2015,22,10,4,14
43,25/03/2015,23,2,3,5
43,26/03/2015,0,4,3,7
43,26/03/2015,1,3,0,3
43,26/03/2015,2,1,0,1
43,26/03/2015,3,0,0,0
43,26/03/2015,4,4,0,4
43,26/03/2015,5,0,1,1
43,26/03/2015,6,0,4,4
43,26/03/2015,7,10,22,32
43,26/03/2015,8,16,84,100
43,26/03/2015,9,7,67,74
43,26/03/2015,10,10,30,40
43,26/03/2015,11,14,25,39
43,26/03/2015,12,19,18,37
43,26/03/2015,13,26,29,55
43,26/03/2015,14,21,23,44
43,26/03/2015,15,29,23,52
43,26/03/2015,16,47,32,79
43,26/03/2015,17,80,25,105
43,26/03/2015,18,31,40,71
43,26/03/2015,19,38,15,53
43,26/03/2015,20,31,11,42
43,26/03/2015,21,15,9,24
43,26/03/2015,22,5,7,12
43,26/03/2015,23,9,1,10
43,27/03/2015,0,3,3,6
43,27/03/2015,1,1,0,1
43,27/03/2015,2,1,0,1
43,27/03/2015,3,1,0,1
43,27/03/2015,4,0,0,0
43,27/03/2015,5,0,1,1
43,27/03/2015,6,0,7,7
43,27/03/2015,7,9,32,41
43,27/03/2015,8,30,74,104
43,27/03/2015,9,13,77,90
43,27/03/2015,10,13,37,50
43,27/03/2015,11,14,28,42
43,27/03/2015,12,38,39,77
43,27/03/2015,13,34,30,64
43,27/03/2015,14,33,35,68
43,27/03/2015,15,38,23,61
43,27/03/2015,16,39,23,62
43,27/03/2015,17,63,51,114
43,27/03/2015,18,47,18,65
43,27/03/2015,19,21,16,37
43,27/03/2015,20,15,7,22
43,27/03/2015,21,9,5,14
43,27/03/2015,22,8,4,12
43,27/03/2015,23,6,4,10
43,28/03/2015,0,1,0,1
43,28/03/2015,1,4,2,6
43,28/03/2015,2,2,0,2
43,28/03/2015,3,0,0,0
43,28/03/2015,4,1,2,3
43,28/03/2015,5,0,0,0
43,28/03/2015,6,0,3,3
43,28/03/2015,7,1,1,2
43,28/03/2015,8,1,5,6
43,28/03/2015,9,14,16,30
43,28/03/2015,10,12,23,35
43,28/03/2015,11,9,29,38
43,28/03/2015,12,17,21,38
43,28/03/2015,13,11,35,46
43,28/03/2015,14,16,20,36
43,28/03/2015,15,21,8,29
43,28/03/2015,16,20,5,25
43,28/03/2015,17,25,12,37
43,28/03/2015,18,14,8,22
43,28/03/2015,19,6,6,12
43,28/03/2015,20,4,3,7
43,28/03/2015,21,7,8,15
43,28/03/2015,22,6,1,7
43,28/03/2015,23,1,4,5
43,05/04/2015,0,3,0,3
43,05/04/2015,1,2,2,4
43,05/04/2015,2,0,0,0
43,05/04/2015,3,0,0,0
43,05/04/2015,4,0,1,1
43,05/04/2015,5,0,0,0
43,05/04/2015,6,0,2,2
43,05/04/2015,7,1,5,6
43,05/04/2015,8,4,4,8
43,05/04/2015,9,22,24,46
43,05/04/2015,10,7,31,38
43,05/04/2015,11,20,29,49
43,05/04/2015,12,18,25,43
43,05/04/2015,13,31,28,59
43,05/04/2015,14,17,25,42
43,05/04/2015,15,32,30,62
43,05/04/2015,16,43,27,70
43,05/04/2015,17,21,40,61
43,05/04/2015,18,15,19,34
43,05/04/2015,19,24,10,34
43,05/04/2015,20,11,4,15
43,05/04/2015,21,6,3,9
43,05/04/2015,22,5,4,9
43,05/04/2015,23,4,2,6
43,06/04/2015,0,2,0,2
43,06/04/2015,1,0,3,3
43,06/04/2015,2,0,0,0
43,06/04/2015,3,1,0,1
43,06/04/2015,4,0,0,0
43,06/04/2015,5,0,0,0
43,06/04/2015,6,0,3,3
43,06/04/2015,7,2,19,21
43,06/04/2015,8,7,33,40
43,06/04/2015,9,12,44,56
43,06/04/2015,10,17,41,58
43,06/04/2015,11,28,31,59
