counter_id,date,time,channel_1,channel_2
45,22/03/2015,0,4,0
45,22/03/2015,1,1,0
45,22/03/2015,2,2,0
45,22/03/2015,3,0,0
45,22/03/2015,4,0,0
45,22/03/2015,5,1,0
45,22/03/2015,6,3,0
45,22/03/2015,7,7,0
45,22/03/2015,8,12,0
45,22/03/2015,9,15,0
45,22/03/2015,10,24,0
45,22/03/2015,11,12,0
45,22/03/2015,12,10,0
45,22/03/2015,13,16,0
45,22/03/2015,14,13,0
45,22/03/2015,15,12,0
45,22/03/2015,16,15,1
45,22/03/2015,17,15,0
45,22/03/2015,18,18,0
45,22/03/2015,19,8,0
45,22/03/2015,20,4,0
45,22/03/2015,21,10,0
45,22/03/2015,22,5,0
45,22/03/2015,23,1,0
45,23/03/2015,0,0,0
45,23/03/2015,1,3,0
45,23/03/2015,2,0,0
45,23/03/2015,3,1,0
45,23/03/2015,4,1,0
45,23/03/2015,5,3,0
45,23/03/2015,6,19,0
45,23/03/2015,7,53,0
45,23/03/2015,8,116,0
45,23/03/2015,9,33,0
45,23/03/2015,10,14,0
45,23/03/2015,11,10,0
45,23/03/2015,12,20,0
45,23/03/2015,13,27,0
45,23/03/2015,14,14,0
45,23/03/2015,15,23,0
45,23/03/2015,16,23,0
45,23/03/2015,17,62,1
45,23/03/2015,18,36,0
45,23/03/2015,19,21,0
45,23/03/2015,20,16,0
45,23/03/2015,21,7,0
45,23/03/2015,22,7,0
45,23/03/2015,23,3,0
45,24/03/2015,0,0,0
45,24/03/2015,1,1,0
45,24/03/2015,2,1,0
45,24/03/2015,3,1,0
45,24/03/2015,4,1,0
45,24/03/2015,5,4,0
45,24/03/2015,6,22,0
45,24/03/2015,7,71,0
45,24/03/2015,8,123,0
45,24/03/2015,9,44,0
45,24/03/2015,10,15,0
45,24/03/2015,11,14,0
45,24/03/2015,12,20,0
45,24/03/2015,13,16,0
45,24/03/2015,14,17,0
45,24/03/2015,15,14,0
45,24/03/2015,16,36,0
45,24/03/2015,17,54,1
45,24/03/2015,18,37,0
45,24/03/2015,19,25,0
45,24/03/2015,20,18,0
45,24/03/2015,21,9,0
45,24/03/2015,22,5,0
45,24/03/2015,23,5,0
45,25/03/2015,0,0,0
45,25/03/2015,1,1,0
45,25/03/2015,2,2,0
45,25/03/2015,3,0,0
45,25/03/2015,4,0,0
45,25/03/2015,5,7,0
45,25/03/2015,6,25,0
45,25/03/2015,7,59,0
45,25/03/2015,8,117,0
45,25/03/2015,9,44,0
45,25/03/2015,10,21,0
45,25/03/2015,11,14,0
45,25/03/2015,12,16,0
45,25/03/2015,13,26,0
45,25/03/2015,14,20,0
45,25/03/2015,15,15,0
45,25/03/2015,16,32,0
45,25/03/2015,17,69,0
45,25/03/2015,18,41,0
45,25/03/2015,19,18,0
45,25/03/2015,20,19,0
45,25/03/2015,21,11,0
45,25/03/2015,22,8,0
45,25/03/2015,23,4,0
45,26/03/2015,0,1,0
45,26/03/2015,1,1,0
45,26/03/2015,2,0,0
45,26/03/2015,3,1,0
45,26/03/2015,4,0,0
45,26/03/2015,5,1,0
45,26/03/2015,6,19,0
45,26/03/2015,7,46,0
45,26/03/2015,8,86,0
45,26/03/2015,9,30,0
45,26/03/2015,10,17,0
45,26/03/2015,11,11,0
45,26/03/2015,12,12,0
45,26/03/2015,13,19,0
45,26/03/2015,14,19,0
45,26/03/2015,15,20,0
45,26/03/2015,16,26,1
45,26/03/2015,17,41,0
45,26/03/2015,18,26,0
45,26/03/2015,19,17,0
45,26/03/2015,20,11,0
45,26/03/2015,21,10,0
45,26/03/2015,22,10,0
45,26/03/2015,23,4,0
45,27/03/2015,0,2,0
45,27/03/2015,1,0,0
45,27/03/2015,2,0,0
45,27/03/2015,3,1,0
45,27/03/2015,4,0,0
45,27/03/2015,5,4,0
45,27/03/2015,6,12,0
45,27/03/2015,7,58,0
45,27/03/2015,8,91,0
45,27/03/2015,9,40,0
45,27/03/2015,10,17,0
45,27/03/2015,11,16,0
45,27/03/2015,12,25,0
45,27/03/2015,13,18,0
45,27/03/2015,14,17,0
45,27/03/2015,15,21,0
45,27/03/2015,16,42,0
45,27/03/2015,17,35,0
45,27/03/2015,18,34,1
45,27/03/2015,19,20,0
45,27/03/2015,20,10,0
45,27/03/2015,21,10,0
45,27/03/2015,22,10,0
45,27/03/2015,23,4,0
45,28/03/2015,0,2,0
45,28/03/2015,1,1,0
45,28/03/2015,2,0,0
45,28/03/2015,3,0,0
45,28/03/2015,4,0,0
45,28/03/2015,5,1,0
45,28/03/2015,6,3,0
45,28/03/2015,7,5,0
45,28/03/2015,8,7,0
45,28/03/2015,9,12,0
45,28/03/2015,10,11,0
45,28/03/2015,11,13,1
45,28/03/2015,12,12,0
45,28/03/2015,13,23,0
45,28/03/2015,14,7,0
45,28/03/2015,15,13,0
45,28/03/2015,16,13,0
45,28/03/2015,17,11,0
45,28/03/2015,18,12,0
45,28/03/2015,19,5,0
45,28/03/2015,20,7,0
45,28/03/2015,21,3,0
45,28/03/2015,22,3,0
45,28/03/2015,23,0,0
45,05/04/2015,0,0,0
45,05/04/2015,1,1,0
45,05/04/2015,2,0,0
45,05/04/2015,3,0,0
45,05/04/2015,4,0,0
45,05/04/2015,5,1,0
45,05/04/2015,6,0,0
45,05/04/2015,7,4,0
45,05/04/2015,8,7,0
45,05/04/2015,9,28,0
45,05/04/2015,10,20,0
45,05/04/2015,11,20,0
45,05/04/2015,12,19,0
45,05/04/2015,13,16,0
45,05/04/2015,14,13,0
45,05/04/2015,15,15,0
45,05/04/2015,16,15,0
45,05/04/2015,17,17,1
45,05/04/2015,18,9,0
45,05/04/2015,19,7,1
45,05/04/2015,20,8,0
45,05/04/2015,21,6,0
45,05/04/2015,22,7,0
45,05/04/2015,23,2,0
45,06/04/2015,0,1,0
45,06/04/2015,1,1,0
45,06/04/2015,2,1,0
45,06/04/2015,3,1,0
45,06/04/2015,4,0,0
45,06/04/2015,5,1,0
45,06/04/2015,6,8,0
45,06/04/2015,7,33,0
45,06/04/2015,8,39,0
45,06/04/2015,9,22,0
45,06/04/2015,10,13,1
45,06/04/2015,11,11,0
45,06/04/2015,12,12,0
45,06/04/2015,13,17,0
45,06/04/2015,14,13,0
45,06/04/2015,15,12,0
45,06/04/2015,16,24,0
45,06/04/2015,17,34,0
45,06/04/2015,18,22,0
45,06/04/2015,19,18,0
45,06/04/2015,20,7,0
45,06/04/2015,21,8,0
45,06/04/2015,22,8,0
45,06/04/2015,23,5,0
45,07/04/2015,0,0,0
45,07/04/2015,1,0,0
45,07/04/2015,2,0,0
45,07/04/2015,3,1,0
45,07/04/2015,4,1,0
45,07/04/2015,5,1,0
45,07/04/2015,6,20,0
