counter_id,date,time,channel_1,channel_2
46,22/03/2015,0,0,0
46,22/03/2015,1,0,0
46,22/03/2015,2,0,0
46,22/03/2015,3,0,0
46,22/03/2015,4,0,1
46,22/03/2015,5,0,0
46,22/03/2015,6,0,0
46,22/03/2015,7,0,0
46,22/03/2015,8,0,1
46,22/03/2015,9,3,0
46,22/03/2015,10,3,1
46,22/03/2015,11,7,4
46,22/03/2015,12,6,5
46,22/03/2015,13,3,2
46,22/03/2015,14,3,1
46,22/03/2015,15,4,2
46,22/03/2015,16,1,1
46,22/03/2015,17,2,0
46,22/03/2015,18,2,5
46,22/03/2015,19,3,1
46,22/03/2015,20,1,0
46,22/03/2015,21,0,0
46,22/03/2015,22,0,0
46,22/03/2015,23,0,0
46,23/03/2015,0,0,0
46,23/03/2015,1,0,0
46,23/03/2015,2,0,0
46,23/03/2015,3,0,0
46,23/03/2015,4,0,0
46,23/03/2015,5,1,0
46,23/03/2015,6,4,2
46,23/03/2015,7,8,2
46,23/03/2015,8,27,2
46,23/03/2015,9,7,2
46,23/03/2015,10,7,0
46,23/03/2015,11,4,0
46,23/03/2015,12,4,1
46,23/03/2015,13,1,1
46,23/03/2015,14,1,1
46,23/03/2015,15,4,0
46,23/03/2015,16,1,8
46,23/03/2015,17,4,12
46,23/03/2015,18,4,12
46,23/03/2015,19,2,6
46,23/03/2015,20,3,1
46,23/03/2015,21,1,0
46,23/03/2015,22,2,0
46,23/03/2015,23,0,0
46,24/03/2015,0,0,1
46,24/03/2015,1,0,0
46,24/03/2015,2,0,0
46,24/03/2015,3,0,0
46,24/03/2015,4,0,0
46,24/03/2015,5,1,0
46,24/03/2015,6,4,1
46,24/03/2015,7,7,4
46,24/03/2015,8,29,1
46,24/03/2015,9,12,2
46,24/03/2015,10,1,1
46,24/03/2015,11,3,1
46,24/03/2015,12,2,1
46,24/03/2015,13,2,3
46,24/03/2015,14,4,4
46,24/03/2015,15,2,2
46,24/03/2015,16,2,4
46,24/03/2015,17,3,10
46,24/03/2015,18,4,12
46,24/03/2015,19,1,4
46,24/03/2015,20,0,2
46,24/03/2015,21,0,0
46,24/03/2015,22,1,1
46,24/03/2015,23,1,1
46,25/03/2015,0,0,0
46,25/03/2015,1,0,0
46,25/03/2015,2,0,0
46,25/03/2015,3,0,0
46,25/03/2015,4,0,0
46,25/03/2015,5,1,0
46,25/03/2015,6,3,2
46,25/03/2015,7,9,2
46,25/03/2015,8,21,0
46,25/03/2015,9,10,1
46,25/03/2015,10,1,0
46,25/03/2015,11,5,2
46,25/03/2015,12,0,1
46,25/03/2015,13,3,4
46,25/03/2015,14,4,0
46,25/03/2015,15,2,1
46,25/03/2015,16,2,11
46,25/03/2015,17,9,11
46,25/03/2015,18,3,18
46,25/03/2015,19,1,7
46,25/03/2015,20,2,2
46,25/03/2015,21,3,1
46,25/03/2015,22,1,2
46,25/03/2015,23,1,0
46,26/03/2015,0,1,0
46,26/03/2015,1,0,1
46,26/03/2015,2,0,0
46,26/03/2015,3,0,1
46,26/03/2015,4,0,0
46,26/03/2015,5,0,0
46,26/03/2015,6,1,0
46,26/03/2015,7,10,3
46,26/03/2015,8,19,1
46,26/03/2015,9,2,2
46,26/03/2015,10,3,1
46,26/03/2015,11,2,2
46,26/03/2015,12,2,0
46,26/03/2015,13,2,1
46,26/03/2015,14,1,0
46,26/03/2015,15,1,1
46,26/03/2015,16,4,2
46,26/03/2015,17,2,7
46,26/03/2015,18,4,9
46,26/03/2015,19,2,5
46,26/03/2015,20,0,0
46,26/03/2015,21,0,0
46,26/03/2015,22,1,1
46,26/03/2015,23,0,0
46,27/03/2015,0,0,0
46,27/03/2015,1,0,1
46,27/03/2015,2,0,0
46,27/03/2015,3,0,0
46,27/03/2015,4,0,0
46,27/03/2015,5,2,1
46,27/03/2015,6,2,1
46,27/03/2015,7,7,2
46,27/03/2015,8,15,1
46,27/03/2015,9,11,3
46,27/03/2015,10,1,1
46,27/03/2015,11,2,1
46,27/03/2015,12,3,6
46,27/03/2015,13,0,3
46,27/03/2015,14,4,0
46,27/03/2015,15,3,2
46,27/03/2015,16,2,8
46,27/03/2015,17,4,6
46,27/03/2015,18,3,4
46,27/03/2015,19,0,4
46,27/03/2015,20,2,1
46,27/03/2015,21,1,1
46,27/03/2015,22,1,0
46,27/03/2015,23,0,1
46,28/03/2015,0,0,2
46,28/03/2015,1,0,0
46,28/03/2015,2,0,0
46,28/03/2015,3,2,0
46,28/03/2015,4,0,1
46,28/03/2015,5,0,0
46,28/03/2015,6,0,0
46,28/03/2015,7,0,0
46,28/03/2015,8,0,0
46,28/03/2015,9,0,1
46,28/03/2015,10,0,0
46,28/03/2015,11,4,1
46,28/03/2015,12,1,1
46,28/03/2015,13,3,1
46,28/03/2015,14,4,0
46,28/03/2015,15,4,1
46,28/03/2015,16,0,0
46,28/03/2015,17,0,1
46,28/03/2015,18,2,0
46,28/03/2015,19,1,0
46,28/03/2015,20,0,0
46,28/03/2015,21,0,0
46,28/03/2015,22,0,0
46,28/03/2015,23,0,0
46,05/04/2015,0,0,0
46,05/04/2015,1,0,0
46,05/04/2015,2,0,0
46,05/04/2015,3,0,0
46,05/04/2015,4,0,0
46,05/04/2015,5,0,0
46,05/04/2015,6,1,1
46,05/04/2015,7,0,0
46,05/04/2015,8,1,1
46,05/04/2015,9,5,1
46,05/04/2015,10,5,2
46,05/04/2015,11,3,4
46,05/04/2015,12,1,2
46,05/04/2015,13,4,4
46,05/04/2015,14,7,1
46,05/04/2015,15,2,5
46,05/04/2015,16,2,1
46,05/04/2015,17,1,1
46,05/04/2015,18,4,2
46,05/04/2015,19,1,2
46,05/04/2015,20,4,0
46,05/04/2015,21,0,1
46,05/04/2015,22,1,0
46,05/04/2015,23,1,0
46,06/04/2015,0,0,0
46,06/04/2015,1,0,0
46,06/04/2015,2,0,0
46,06/04/2015,3,0,1
46,06/04/2015,4,0,0
46,06/04/2015,5,0,0
46,06/04/2015,6,0,0
46,06/04/2015,7,1,1
46,06/04/2015,8,10,0
46,06/04/2015,9,7,0
46,06/04/2015,10,2,3
46,06/04/2015,11,3,0
46,06/04/2015,12,3,2
46,06/04/2015,13,2,0
46,06/04/2015,14,3,3
46,06/04/2015,15,7,4
46,06/04/2015,16,5,3
46,06/04/2015,17,3,3
46,06/04/2015,18,7,2
46,06/04/2015,19,3,4
46,06/04/2015,20,2,1
46,06/04/2015,21,0,0
46,06/04/2015,22,0,0
46,06/04/2015,23,0,1
46,07/04/2015,0,0,0
46,07/04/2015,1,0,0
46,07/04/2015,2,0,0
46,07/04/2015,3,0,0
46,07/04/2015,4,0,0
46,07/04/2015,5,1,1
46,07/04/2015,6,1,1
46,07/04/2015,7,9,2
46,07/04/2015,8,18,2
46,07/04/2015,9,3,1
46,07/04/2015,10,3,2
46,07/04/2015,11,3,0
46,07/04/2015,12,2,0
46,07/04/2015,13,0,4
46,07/04/2015,14,2,1
46,07/04/2015,15,6,7
46,07/04/2015,16,7,6
46,07/04/2015,17,3,5
46,07/04/2015,18,7,7
46,07/04/2015,19,4,4
46,07/04/2015,20,1,0
46,07/04/2015,21,1,1
46,07/04/2015,22,0,1
46,07/04/2015,23,0,1
46,08/04/2015,0,0,0
46,08/04/2015,1,0,0
46,08/04/2015,2,0,0
46,08/04/2015,3,0,0
46,08/04/2015,4,0,0
46,08/04/2015,5,1,0
46,08/04/2015,6,0,2
46,08/04/2015,7,6,5
46,08/04/2015,8,20,0
46,08/04/2015,9,8,2
46,08/04/2015,10,1,2
