counter_id,date,time,channel_1,channel_2
47,22/03/2015,0,0,0
47,22/03/2015,1,1,0
47,22/03/2015,2,0,0
47,22/03/2015,3,0,0
47,22/03/2015,4,0,0
47,22/03/2015,5,0,0
47,22/03/2015,6,3,2
47,22/03/2015,7,2,0
47,22/03/2015,8,3,2
47,22/03/2015,9,5,6
47,22/03/2015,10,2,7
47,22/03/2015,11,7,6
47,22/03/2015,12,2,1
47,22/03/2015,13,3,9
47,22/03/2015,14,10,4
47,22/03/2015,15,3,8
47,22/03/2015,16,14,11
47,22/03/2015,17,9,5
47,22/03/2015,18,3,2
47,22/03/2015,19,2,2
47,22/03/2015,20,2,0
47,22/03/2015,21,0,3
47,22/03/2015,22,0,1
47,22/03/2015,23,0,0
47,23/03/2015,0,0,0
47,23/03/2015,1,0,0
47,23/03/2015,2,0,0
47,23/03/2015,3,0,0
47,23/03/2015,4,0,0
47,23/03/2015,5,0,0
47,23/03/2015,6,6,4
47,23/03/2015,7,13,10
47,23/03/2015,8,27,22
47,23/03/2015,9,18,11
47,23/03/2015,10,6,9
47,23/03/2015,11,7,5
47,23/03/2015,12,3,7
47,23/03/2015,13,7,4
47,23/03/2015,14,7,5
47,23/03/2015,15,7,12
47,23/03/2015,16,18,14
47,23/03/2015,17,11,38
47,23/03/2015,18,15,14
47,23/03/2015,19,3,4
47,23/03/2015,20,4,8
47,23/03/2015,21,1,4
47,23/03/2015,22,1,0
47,23/03/2015,23,1,0
47,24/03/2015,0,0,1
47,24/03/2015,1,0,1
47,24/03/2015,2,0,0
47,24/03/2015,3,0,0
47,24/03/2015,4,0,0
47,24/03/2015,5,1,0
47,24/03/2015,6,9,2
47,24/03/2015,7,18,15
47,24/03/2015,8,33,24
47,24/03/2015,9,17,10
47,24/03/2015,10,7,3
47,24/03/2015,11,3,3
47,24/03/2015,12,7,7
47,24/03/2015,13,6,5
47,24/03/2015,14,1,5
47,24/03/2015,15,3,16
47,24/03/2015,16,16,28
47,24/03/2015,17,22,24
47,24/03/2015,18,4,18
47,24/03/2015,19,3,8
47,24/03/2015,20,1,4
47,24/03/2015,21,3,2
47,24/03/2015,22,2,0
47,24/03/2015,23,0,1
47,25/03/2015,0,0,0
47,25/03/2015,1,0,0
47,25/03/2015,2,0,0
47,25/03/2015,3,0,0
47,25/03/2015,4,0,0
47,25/03/2015,5,0,0
47,25/03/2015,6,8,6
47,25/03/2015,7,22,15
47,25/03/2015,8,34,33
47,25/03/2015,9,15,9
47,25/03/2015,10,9,5
47,25/03/2015,11,4,3
47,25/03/2015,12,6,12
47,25/03/2015,13,3,7
47,25/03/2015,14,6,4
47,25/03/2015,15,7,7
47,25/03/2015,16,8,18
47,25/03/2015,17,19,29
47,25/03/2015,18,11,9
47,25/03/2015,19,2,2
47,25/03/2015,20,2,3
47,25/03/2015,21,2,3
47,25/03/2015,22,3,1
47,25/03/2015,23,0,2
47,26/03/2015,0,0,0
47,26/03/2015,1,0,1
47,26/03/2015,2,0,0
47,26/03/2015,3,0,0
47,26/03/2015,4,0,0
47,26/03/2015,5,1,0
47,26/03/2015,6,7,4
47,26/03/2015,7,16,11
47,26/03/2015,8,24,26
47,26/03/2015,9,8,12
47,26/03/2015,10,1,3
47,26/03/2015,11,2,1
47,26/03/2015,12,2,4
47,26/03/2015,13,2,3
47,26/03/2015,14,1,6
47,26/03/2015,15,5,13
47,26/03/2015,16,12,13
47,26/03/2015,17,15,21
47,26/03/2015,18,10,13
47,26/03/2015,19,1,10
47,26/03/2015,20,4,3
47,26/03/2015,21,1,2
47,26/03/2015,22,0,1
47,26/03/2015,23,2,0
47,27/03/2015,0,0,0
47,27/03/2015,1,0,0
47,27/03/2015,2,0,0
47,27/03/2015,3,0,0
47,27/03/2015,4,0,1
47,27/03/2015,5,0,0
47,27/03/2015,6,12,0
47,27/03/2015,7,15,10
