counter_id,date,time,channel_1,channel_2
48,25/03/2015,0,0,0
48,25/03/2015,1,0,0
48,25/03/2015,2,0,0
48,25/03/2015,3,0,0
48,25/03/2015,4,0,0
48,25/03/2015,5,0,0
48,25/03/2015,6,0,0
48,25/03/2015,7,0,0
48,25/03/2015,8,0,0
48,25/03/2015,9,0,13
48,25/03/2015,10,0,8
48,25/03/2015,11,1,2
48,25/03/2015,12,1,13
48,25/03/2015,13,0,9
48,25/03/2015,14,0,5
48,25/03/2015,15,0,0
48,25/03/2015,16,0,3
48,25/03/2015,17,1,11
48,25/03/2015,18,1,8
48,25/03/2015,19,0,5
48,25/03/2015,20,0,3
48,25/03/2015,21,0,3
48,25/03/2015,22,0,6
48,25/03/2015,23,0,1
48,26/03/2015,0,0,0
48,26/03/2015,1,0,0
48,26/03/2015,2,0,0
48,26/03/2015,3,1,0
48,26/03/2015,4,0,0
48,26/03/2015,5,0,0
48,26/03/2015,6,0,4
48,26/03/2015,7,0,19
48,26/03/2015,8,0,42
48,26/03/2015,9,1,17
48,26/03/2015,10,0,13
48,26/03/2015,11,1,6
48,26/03/2015,12,0,3
48,26/03/2015,13,0,4
48,26/03/2015,14,0,7
48,26/03/2015,15,1,3
48,26/03/2015,16,0,2
48,26/03/2015,17,0,15
48,26/03/2015,18,0,6
48,26/03/2015,19,0,0
48,26/03/2015,20,0,4
48,26/03/2015,21,0,4
48,26/03/2015,22,1,2
48,26/03/2015,23,0,1
48,27/03/2015,0,0,1
48,27/03/2015,1,0,0
48,27/03/2015,2,0,1
48,27/03/2015,3,0,0
48,27/03/2015,4,0,0
48,27/03/2015,5,0,0
48,27/03/2015,6,0,3
48,27/03/2015,7,0,20
48,27/03/2015,8,0,41
48,27/03/2015,9,0,28
48,27/03/2015,10,0,10
48,27/03/2015,11,0,4
48,27/03/2015,12,0,6
48,27/03/2015,13,0,9
48,27/03/2015,14,1,12
48,27/03/2015,15,0,3
48,27/03/2015,16,0,3
48,27/03/2015,17,0,7
48,27/03/2015,18,0,2
48,27/03/2015,19,0,0
48,27/03/2015,20,0,1
48,27/03/2015,21,0,1
48,27/03/2015,22,2,1
